rank,tier,name,mmr,points,wins,losses,played,winrate,age
1,1,Memestermind,6685,934,20,3,23,87.0%,20m
2,1,[N0SCAM]NoWCSForU,6673,668,15,0,15,100.0%,38m
3,1,PartinG,6643,3381,107,19,126,84.9%,2m
4,1,lIlIlIlIlIlI,6635,1056,37,7,44,84.1%,9m
5,1,Hana,6604,1839,229,65,294,77.9%,10m
6,1,[Cl0wn]PartinG,6562,192,5,3,8,62.5%,38m
7,1,[Ex0n]Nina,6464,3928,967,318,1285,75.3%,2m
8,1,Creator,6452,48,2,1,3,66.7%,5m
9,1,[αX]Astrea,6422,144,4,2,6,66.7%,16m
10,1,[ROOT]DisK,6357,1007,29,4,33,87.9%,19m
11,1,[TeamGP]Prince,6353,1229,32,12,44,72.7%,2m
12,1,llllllllllll,6201,1371,58,23,81,71.6%,19m
12,1,Terotex,6201,0,1,0,1,100.0%,9m
14,1,[KGH]eXaScaLe,6189,2835,124,26,150,82.7%,2m
15,1,[cScNA]SKillous,6182,670,14,4,18,77.8%,14m
16,1,llllllllllll,6174,121,2,1,3,66.7%,2m
17,1,[xGenGx]PiLiPiLi,6172,3736,598,246,844,70.9%,2m
18,1,[RYE1]PtitDrogo,6158,814,18,7,25,72.0%,23m
19,1,goblin,6151,576,12,8,20,60.0%,14m
20,1,Krystianer,6140,0,1,0,1,100.0%,32m
21,1,[aXMage]cheesyToss,6113,717,64,35,99,64.6%,23m
22,1,insaneLikeMe,6107,476,11,1,12,91.7%,5m
23,1,[L0ne1y]PattyMac,6085,3592,147,70,217,67.7%,2m
24,1,[αX]Nice,6075,48,2,0,2,100.0%,32m
25,1,Grisgris,6074,144,3,4,7,42.9%,8m
26,1,[αX]Asuna,6067,0,1,1,2,50.0%,14m
27,1,[AoBDE]BossToss,6060,622,14,8,22,63.6%,37m
28,1,[AoBDE]jackson,6052,1468,32,11,43,74.4%,23m
29,1,EterNaL,6016,1406,32,11,43,74.4%,12m
30,1,TalentToss,6000,432,10,6,16,62.5%,18m
31,1,IIIIIIIIIIII,5989,101,1,11,12,8.3%,18m
32,1,ShihYat,5987,521,21,10,31,67.7%,18m
33,1,CantStopMe,5961,192,5,1,6,83.3%,32m
34,1,LiquidMaNa,5944,0,0,1,1,0.0%,9m
35,1,[Ex0n]Adonminus,5915,1529,111,21,132,84.1%,38m
36,1,[Pnamed]Slickback,5910,270,9,3,12,75.0%,9m
37,1,PatrickMac,5906,1598,35,22,57,61.4%,14m
38,1,Webster,5903,3220,135,59,194,69.6%,2m
39,1,[Ex0n]Ryan,5899,3228,265,208,473,56.0%,2m
39,1,Positivity,5899,192,5,2,7,71.4%,14m
41,1,IIIIIIIIIIII,5897,0,1,0,1,100.0%,14m
42,1,[Ex0n]Ruiyichi,5891,3515,157,129,286,54.9%,2m
43,1,Shed,5882,671,26,16,42,61.9%,5m
44,1,[MFSC2]MeomaikaFan,5875,599,25,19,44,56.8%,23m
45,1,llllllllllll,5861,432,10,4,14,71.4%,19m
46,1,llllllllllll,5858,768,35,16,51,68.6%,23m
47,1,AAAAAAAAAAAA,5854,2211,111,21,132,84.1%,4m
48,1,[HRBNGR]Grimmy,5845,452,24,19,43,55.8%,23m
49,1,[iMkS]XionS,5836,2997,157,81,238,66.0%,2m
50,1,[Quasr]printf,5824,1333,31,17,48,64.6%,16m
51,1,NotaDrRyan,5823,3166,119,88,207,57.5%,2m
52,1,[MFSC2]pezzaperry,5821,1629,55,32,87,63.2%,2m
53,1,Simplistic,5814,487,19,16,35,54.3%,23m
54,1,llllllllllll,5812,0,0,1,1,0.0%,5m
55,1,[αX]TriGGeR,5811,3461,444,324,768,57.8%,2m
55,1,RockEr,5811,3251,345,251,596,57.9%,2m
57,1,[Mapey]llllllllllll,5810,680,16,5,21,76.2%,2m
58,1,HugeOrange,5804,1221,79,47,126,62.7%,16m
59,1,Grimmy,5800,312,16,21,37,43.2%,5m
60,1,Grimmy,5798,402,19,15,34,55.9%,32m
61,1,IIIIIIIIIIII,5797,240,5,6,11,45.5%,38m
62,1,Zest,5795,2583,100,35,135,74.1%,2m
63,1,HeatmanCN,5794,96,2,1,3,66.7%,9m
64,1,HuShang,5788,0,0,1,1,0.0%,23m
65,1,[ArGNA]Rhizer,5770,1898,106,66,172,61.6%,4m
66,1,[Maplez]llllllllllll,5766,2201,101,62,163,62.0%,5m
66,1,RectumRavage,5766,360,24,19,43,55.8%,37m
66,1,Braintoss,5766,48,1,1,2,50.0%,14m
69,1,[ROOT]Robbie,5758,3440,576,361,937,61.5%,2m
70,1,[αX]Rodzyn,5751,96,3,1,4,75.0%,18m
71,1,llllllllllll,5748,0,1,1,2,50.0%,14m
72,1,[lCY]TurkeyDano,5743,2646,180,146,326,55.2%,2m
73,1,[PSISTM]MygraiN,5737,1243,49,38,87,56.3%,8m
74,1,[UpeV]Virtuoso,5733,3079,146,101,247,59.1%,2m
74,1,SlimShady,5733,2293,86,54,140,61.4%,2m
76,1,PointsThief,5732,288,7,5,12,58.3%,38m
77,1,Marshall,5727,807,29,12,41,70.7%,2m
78,1,IIIIIIIIIIII,5726,1010,99,44,143,69.2%,9m
79,1,[WarpDT]AGiantSmurf,5719,0,1,0,1,100.0%,23m
80,1,Grimmybubu,5718,1439,54,39,93,58.1%,2m
81,1,[Ris3n]FiteSumCrime,5716,48,1,3,4,25.0%,23m
82,1,[StarF]Weezy,5713,881,56,44,100,56.0%,23m
83,1,[Maplez]GosuPvP,5710,1079,43,37,80,53.8%,32m
84,1,Legacy,5707,0,0,1,1,0.0%,23m
85,1,[GRNSKN]GrimGoblin,5684,1732,73,53,126,57.9%,2m
86,1,Frustration,5674,3135,257,148,405,63.5%,2m
87,1,Larry,5662,1458,42,32,74,56.8%,2m
88,1,Calm,5655,912,39,27,66,59.1%,23m
89,1,[HRBNGR]GrimWizard,5645,1753,103,66,169,60.9%,32m
90,1,Churro,5631,1155,55,38,93,59.1%,19m
91,1,[Voidy]Grimmy,5628,1271,79,62,141,56.0%,19m
92,1,KingFelixg,5625,1385,119,85,204,58.3%,38m
93,1,[SEND]SocialSend,5616,1047,60,15,75,80.0%,4m
94,1,BlysK,5612,0,0,1,1,0.0%,9m
95,1,Amane,5611,311,38,25,63,60.3%,32m
96,1,CammyPurple,5604,916,65,40,105,61.9%,18m
97,1,[ePunks]PappiJoe,5603,1793,60,45,105,57.1%,2m
