rank,tier,name,mmr,points,wins,losses,played,winrate,age
1,1,[xGenGx]PiLiPiLi,6054,0,1,1,2,50.0%,28m
2,1,[MFSC2]pezzaperry,5911,48,2,1,3,66.7%,7m
3,1,[Ex0n]Burninator,5670,0,1,0,1,100.0%,38m
4,1,[LRKT]Guitarcheese,5636,0,1,0,1,100.0%,46m
5,1,[R1seUP]TheBlazer,5554,48,1,2,3,33.3%,38m
6,1,[PiGPan]PiG,5547,2252,90,86,176,51.1%,3m
7,1,IIIIIIIIIIII,5540,274,9,4,13,69.2%,25m
8,1,[Lolili]Winter,5489,1511,94,69,163,57.7%,3m
9,1,Starlord,5488,0,1,1,2,50.0%,4m
10,2,[RnGpro]Puppypaws,5471,0,1,2,3,33.3%,47m
11,1,[CumNow]Kamker,5435,588,13,14,27,48.1%,38m
12,1,McGregor,5412,569,24,17,41,58.5%,28m
13,1,[Tvitch]PoKoMoM,5356,2868,302,221,523,57.7%,3m
14,2,IrishLad,5355,0,1,0,1,100.0%,38m
15,1,IIIIIIIIIIII,5339,0,1,0,1,100.0%,7m
16,1,[αXLa]GutyECUADOR,5325,1018,26,18,44,59.1%,3m
17,1,[xRtG]Haffey,5309,144,4,1,5,80.0%,35m
18,1,[Groovy]Judgement,5289,228,5,3,8,62.5%,7m
19,1,YessumZero,5268,232,6,2,8,75.0%,33m
20,3,Oreo,5240,0,3,2,5,60.0%,32m
21,1,[EvilGC]SkrOs,5209,0,0,1,1,0.0%,27m
22,1,NightLight,5190,94,3,2,5,60.0%,28m
23,1,[aviNA]aviloSoAmaze,5161,504,14,17,31,45.2%,47m
24,1,[Bee]BerryRAWR,5145,86,2,2,4,50.0%,25m
25,1,saggybooty,5144,1312,89,14,103,86.4%,45m
26,1,[ROOT]ViBE,5141,184,5,2,7,71.4%,51m
27,1,[Ris3n]SacDeFromage,5138,2705,196,162,358,54.7%,3m
28,1,[Cryptc]ElNiño,5134,748,79,51,130,60.8%,38m
28,1,[prxynb]SalbeoL,5134,0,2,0,2,100.0%,34m
30,1,Groovyman,5130,1313,72,40,112,64.3%,38m
31,3,MikeRoss,5115,0,3,2,5,60.0%,47m
32,1,[dastan]selacome,5089,0,1,0,1,100.0%,28m
33,1,[GnR]Naattt,5062,0,1,1,2,50.0%,38m
34,1,BamgOOraY,5050,1466,176,153,329,53.5%,33m
35,1,IIIIIIIIIIII,5048,240,5,16,21,23.8%,34m
36,1,[FabIed]Integral,5024,2436,137,110,247,55.5%,35m
36,1,[Black0]Galeno,5024,0,0,1,1,0.0%,4m
38,1,llllllllllll,5020,304,9,9,18,50.0%,38m
39,1,[ACSS]HeavyFresh,5018,1841,123,93,216,56.9%,7m
40,1,[NOPVP]pHSPUq,5017,0,1,3,4,25.0%,51m
41,1,llllllllllll,5009,0,3,2,5,60.0%,28m
42,1,MilkTerran,4992,0,1,0,1,100.0%,38m
43,1,[ChiFan]ChillerView,4986,0,1,0,1,100.0%,28m
44,1,LaVerdaddy,4983,0,2,2,4,50.0%,25m
45,1,[αX]starkiller,4982,2795,205,167,372,55.1%,3m
46,1,[0ooooo]RedViper,4970,84,5,6,11,45.5%,25m
47,1,BigBird,4961,0,0,2,2,0.0%,7m
48,1,llllllllllll,4957,302,7,8,15,46.7%,37m
48,3,IllIIllllIIl,4957,145,4,0,4,100.0%,32m
50,1,cheeser,4951,911,40,16,56,71.4%,33m
51,1,IIlllIlllIll,4950,0,1,1,2,50.0%,8m
52,1,[ELIDS]QuaNTeL,4948,208,6,2,8,75.0%,34m
53,2,atom,4936,312,17,1,18,94.4%,8m
54,1,IIIIIIIIII,4935,122,4,0,4,100.0%,47m
55,1,[RnGpro]Goomba,4934,230,7,4,11,63.6%,35m
55,1,IIIIIIIIIIII,4934,0,2,3,5,40.0%,25m
57,3,[DTokes]TerranTears,4932,121,3,0,3,100.0%,47m
58,1,[LGCANZ]MeomaikaFan,4931,670,19,26,45,42.2%,7m
59,1,IIIIIIllllll,4929,0,2,1,3,66.7%,5m
60,1,newtoRTS,4917,1322,71,36,107,66.4%,30m
61,1,CCalms,4915,48,4,1,5,80.0%,46m
62,1,[cl0udM]Eurystheus,4911,0,1,9,10,10.0%,38m
63,1,llllllllllll,4910,315,12,7,19,63.2%,33m
