rank,tier,name,mmr,points,wins,losses,played,winrate,age
1,1,[Ex0n]SpeCial,6345,1883,72,29,101,71.3%,7m
2,1,Sonagi,6258,0,0,2,2,0.0%,31m
3,1,lllllllllIll,6232,1280,29,6,35,82.9%,26m
4,1,[αX]MaSa,6196,240,6,2,8,75.0%,7m
5,1,Spear,6186,0,0,1,1,0.0%,7m
6,1,freeyourself,6144,2421,299,100,399,74.9%,2m
7,1,Kylekatarn,6123,240,6,0,6,100.0%,4m
8,1,[MFSC2]Seither,6122,726,27,16,43,62.8%,40m
9,1,[UpeV]jOker,6083,616,24,6,30,80.0%,2m
10,1,MillForGG,6081,3710,1320,864,2184,60.4%,2m
11,1,Sottorks,6077,3432,601,177,778,77.2%,2m
11,1,[juggr]Jason,6077,3229,126,57,183,68.9%,2m
13,1,Homer,6069,384,8,5,13,61.5%,3m
14,1,[iMkS]YeraldSC,6064,376,13,4,17,76.5%,31m
15,1,[H0110W]ZoteTheMghty,6050,48,2,0,2,100.0%,13m
16,1,SuperNova,6043,1760,249,70,319,78.1%,39m
17,1,[αX]Vindicta,6037,1392,52,35,87,59.8%,13m
18,1,IIIIIIIIIIII,6031,0,1,1,2,50.0%,17m
19,1,jheffe,6027,288,6,3,9,66.7%,2m
20,1,[EZFLEX]mchoma,6005,772,57,12,69,82.6%,12m
21,1,HydraulixXD,5996,1564,58,28,86,67.4%,25m
22,1,[PSISTM]Epic,5963,3362,186,108,294,63.3%,2m
23,1,GamerRichy,5945,288,6,5,11,54.5%,14m
23,1,[YMTT]Drunkenboi,5945,96,3,0,3,100.0%,31m
25,1,KAPPAPRIDE,5937,1300,124,71,195,63.6%,26m
26,1,macmiller,5921,0,0,1,1,0.0%,17m
27,1,AGRESOR,5919,959,44,17,61,72.1%,39m
28,1,[αX]Future,5915,1854,45,25,70,64.3%,25m
29,1,Creed,5911,48,2,2,4,50.0%,40m
30,1,IIIIIIIIIIII,5910,3130,210,46,256,82.0%,2m
30,1,[cult]CrucialNug,5910,0,0,1,1,0.0%,17m
32,1,llllllllllll,5892,610,13,6,19,68.4%,39m
33,1,CloutCobain,5891,773,16,5,21,76.2%,2m
33,1,malloc,5891,0,1,0,1,100.0%,39m
35,1,[Perfec]Zero,5890,3522,325,229,554,58.7%,2m
36,1,kiwian,5886,0,1,0,1,100.0%,25m
37,1,[αX]Uzikoti,5848,0,1,0,1,100.0%,7m
38,1,[RnGpro]Goomba,5841,3445,595,430,1025,58.0%,2m
39,1,balrog,5834,188,5,1,6,83.3%,7m
40,1,[JIGLY]Mangos,5832,0,1,0,1,100.0%,39m
41,1,[Regstr]FlexOffender,5830,524,15,4,19,78.9%,25m
41,1,llllllllllll,5830,0,0,1,1,0.0%,17m
43,1,ItWasLuck,5825,336,7,1,8,87.5%,31m
44,1,McGregor,5824,96,3,1,4,75.0%,31m
45,1,[CumNow]Kamker,5817,613,115,57,172,66.9%,12m
46,1,mercy,5797,280,7,8,15,46.7%,17m
47,1,[LCE]ldrunk,5791,2104,71,44,115,61.7%,2m
48,1,piglet,5781,1424,59,49,108,54.6%,25m
49,1,StutterStep,5776,336,7,7,14,50.0%,17m
50,1,SayICanComeI,5774,504,88,58,146,60.3%,6m
51,1,BratOK,5748,48,1,2,3,33.3%,3m
52,1,TopGun,5736,0,1,0,1,100.0%,3m
53,1,[RolIin]Dolan,5725,3375,559,421,980,57.0%,2m
54,1,table,5723,710,15,14,29,51.7%,13m
55,1,rive,5719,0,0,1,1,0.0%,6m
56,1,[P51]TaeJa,5707,96,2,1,3,66.7%,31m
57,1,[VRKLAK]Wanderer,5706,48,1,5,6,16.7%,17m
58,1,Avenger,5704,732,221,182,403,54.8%,17m
59,1,coldhands,5703,464,10,4,14,71.4%,3m
60,1,[Ex0n]Skyler,5701,3266,439,312,751,58.5%,2m
61,1,[GIBE]Jason,5697,3414,299,187,486,61.5%,2m
62,1,[xRtG]Ambition,5696,1827,75,49,124,60.5%,2m
63,1,IIIIIIIIIIII,5690,554,21,10,31,67.7%,2m
64,1,maryshelly,5685,73,0,4,4,0.0%,7m
65,1,[YMTT]ChampgnePapi,5658,1786,60,49,109,55.0%,25m
66,1,[ROOT]DisK,5657,678,26,9,35,74.3%,40m
67,1,[JIGLY]Zonda,5654,364,15,15,30,50.0%,2m
68,1,IIIIIIIIIIII,5647,0,1,0,1,100.0%,12m
69,1,ºººººººººººº,5646,0,0,1,1,0.0%,25m
70,1,[omgBBC]GucciCoochie,5645,0,0,1,1,0.0%,7m
71,1,Lero,5638,924,22,11,33,66.7%,17m
72,1,llllllllllll,5636,0,0,1,1,0.0%,4m
73,1,llllllllllll,5626,1525,229,178,407,56.3%,25m
74,1,PracticeX,5625,654,15,7,22,68.2%,39m
75,1,[byunta]llllllllllll,5615,1296,112,75,187,59.9%,25m
76,1,IIIIIIIIIIII,5613,48,2,1,3,66.7%,12m
77,1,HearMyCall,5606,942,107,38,145,73.8%,12m
