rank,tier,name,mmr,points,wins,losses,played,winrate,age
1,1,[BJWD]MaBaoGuo,6601,1104,50,26,76,65.8%,34m
2,1,Scarlett,6584,48,2,0,2,100.0%,42m
3,1,Denver,6348,0,0,1,1,0.0%,31m
4,1,[PSISTM]Namshar,6317,1848,113,41,154,73.4%,29m
5,1,[ArGNA]SortOf,6298,48,1,5,6,16.7%,24m
6,1,[PSISTM]Namshar,6267,192,5,1,6,83.3%,42m
7,1,Dark,6243,192,4,2,6,66.7%,28m
8,1,llllllllllll,6171,526,12,3,15,80.0%,41m
9,1,LeGoatJames,6162,415,22,8,30,73.3%,15m
10,1,[Ex0n]Cham,6138,3689,370,120,490,75.5%,3m
11,1,[ArGNA]McMonroe,6125,0,1,0,1,100.0%,28m
12,1,[JIGLY]MèoMáiKà,6119,3666,1381,436,1817,76.0%,3m
13,1,Reaper,6114,0,1,0,1,100.0%,26m
14,1,TLO,6077,803,26,19,45,57.8%,15m
15,1,[PSISTM]JonSnow,6063,1075,55,34,89,61.8%,41m
16,1,IIIIIIIIIIII,6027,0,1,0,1,100.0%,23m
17,1,Zulrah,6008,411,68,29,97,70.1%,42m
18,1,IIIIIIIIIIII,5935,0,1,0,1,100.0%,32m
19,1,[xRtG]Zohar,5929,693,26,5,31,83.9%,9m
20,1,Computer,5890,0,0,1,1,0.0%,41m
21,1,[αB]Instinct,5888,1585,46,25,71,64.8%,42m
22,1,[IDFI]Demi,5851,844,18,14,32,56.2%,26m
23,1,Three,5845,613,24,6,30,80.0%,9m
24,1,SwagSurgeon,5844,710,16,8,24,66.7%,41m
25,1,Zerg,5826,48,1,3,4,25.0%,41m
26,1,IIIIIIIIIIII,5806,273,77,23,100,77.0%,42m
27,1,[l4dd3r]Elazer,5795,240,6,0,6,100.0%,24m
28,1,[Ex0n]Bioice,5779,3393,438,306,744,58.9%,3m
29,1,Five,5773,454,16,14,30,53.3%,3m
30,1,Lurker,5749,48,2,1,3,66.7%,23m
31,1,IlIlIlIlIlIl,5748,1616,43,23,66,65.2%,34m
32,1,[RnGpro]Flood,5747,0,0,1,1,0.0%,32m
33,1,[RnGpro]ScribbleS,5746,48,2,0,2,100.0%,29m
34,1,Tabarnak,5745,1051,50,24,74,67.6%,15m
34,1,IlIlIlIlIlIl,5745,0,0,1,1,0.0%,38m
36,1,[ROOT]NoRegreT,5738,430,10,6,16,62.5%,26m
37,1,IIIIIIIIIIII,5722,286,7,2,9,77.8%,37m
38,1,lIlIllIllIll,5720,288,7,4,11,63.6%,23m
39,1,[αX]FireFoX,5710,0,0,1,1,0.0%,42m
40,1,[IDFI]MeomaikaFan,5678,764,54,25,79,68.4%,42m
41,1,[YMTT]ScrubbleS,5677,0,0,1,1,0.0%,42m
42,1,[αXLa]eGGz,5667,1932,77,34,111,69.4%,41m
42,1,[RnGpro]scrobl,5667,48,2,8,10,20.0%,42m
44,1,[ArGNA]Jig,5661,2458,91,77,168,54.2%,3m
45,1,[RGAN]Railgan,5659,240,6,7,13,46.2%,9m
46,1,[PiGPan]PiG,5654,2703,97,99,196,49.5%,3m
47,1,[IDFI]MeomaikaFan,5646,0,0,1,1,0.0%,9m
48,1,Thirteen,5644,547,21,14,35,60.0%,3m
49,1,Fourteen,5643,380,8,13,21,38.1%,29m
50,1,CaydeSix,5640,562,24,15,39,61.5%,24m
51,1,[ArGNA]PandaBearMe,5636,3268,178,143,321,55.5%,3m
52,1,Golden,5626,3361,326,289,615,53.0%,3m
53,1,[AeonTK]llllllllllll,5621,0,1,0,1,100.0%,23m
54,1,Fifteen,5616,238,6,0,6,100.0%,28m
55,1,[afterM]Voltz,5614,2418,94,48,142,66.2%,3m
56,1,[Th3Bad]TheZergLord,5613,1279,62,37,99,62.6%,42m
56,1,llllllllllll,5613,514,12,7,19,63.2%,34m
58,1,llllllllllll,5612,1180,29,17,46,63.0%,39m
59,1,Nanika,5605,0,1,0,1,100.0%,15m
60,1,IIIIIIIIIIII,5601,0,0,5,5,0.0%,9m
61,1,[αX]starkiller,5600,1858,140,100,240,58.3%,29m
62,1,Ten,5598,434,15,15,30,50.0%,3m
63,1,[αX]MaSa,5594,0,0,2,2,0.0%,15m
64,1,CàPhêSuaDá,5589,48,2,3,5,40.0%,34m
65,1,IIIIIIIIIIII,5586,3279,323,224,547,59.0%,3m
66,1,Marines,5585,0,1,9,10,10.0%,9m
67,1,Two,5580,462,18,14,32,56.2%,29m
68,1,[dastan]selacome,5577,560,12,10,22,54.5%,28m
69,1,[Ex0n]Burninator,5576,48,1,1,2,50.0%,42m
70,1,[Macac0]JimRising,5570,3024,104,90,194,53.6%,3m
71,1,Six,5559,499,19,12,31,61.3%,3m
72,1,Eleven,5555,491,18,16,34,52.9%,3m
72,1,[αX]Relapse,5555,648,14,6,20,70.0%,42m
74,1,[RnGpro]Prototype,5544,1961,89,62,151,58.9%,37m
75,1,llllllllllll,5536,798,19,11,30,63.3%,26m
76,1,Eight,5534,486,17,13,30,56.7%,3m
76,1,Four,5534,417,15,16,31,48.4%,3m
78,1,[HSPAS]SHAH,5533,2065,107,53,160,66.9%,3m
79,1,CptButtBeard,5532,96,2,4,6,33.3%,41m
80,1,llllllllllll,5530,601,25,14,39,64.1%,28m
81,1,Scientist,5524,558,21,15,36,58.3%,10m
82,1,[hTx]Donnyboy,5518,1115,37,23,60,61.7%,9m
83,1,IIIIIIIIIIII,5513,1133,230,128,358,64.2%,28m
83,1,[ROOT]Mackintac,5513,1337,71,49,120,59.2%,23m
85,1,Zerglings,5510,220,8,8,16,50.0%,31m
86,1,Duck,5502,2002,306,231,537,57.0%,15m
87,1,IIIIIIIIIIII,5501,528,12,13,25,48.0%,28m
88,1,Starlord,5487,448,10,13,23,43.5%,26m
89,1,[RnGpro]Flood,5479,267,8,5,13,61.5%,3m
89,1,IIIIIIIIIIII,5479,0,0,9,9,0.0%,42m
91,1,Oreo,5477,832,21,14,35,60.0%,28m
91,1,NightSky,5477,144,4,1,5,80.0%,24m
91,1,owL,5477,0,0,1,1,0.0%,28m
94,1,IIllIIIllIlI,5475,34,2,1,3,66.7%,41m
95,1,One,5473,391,15,15,30,50.0%,23m
96,1,IIIIIIIIIIII,5472,666,35,23,58,60.3%,24m
97,1,Twelve,5470,433,16,14,30,53.3%,3m
98,1,[MFSC2]Chase,5467,0,1,0,1,100.0%,28m
99,1,CHiPZ,5465,587,25,25,50,50.0%,3m
100,1,[lCY]CalebAracous,5464,1005,31,29,60,51.7%,24m
101,1,memOryfreak,5460,1740,77,54,131,58.8%,41m
102,1,Prometheus,5453,1453,79,60,139,56.8%,41m
103,1,[Ex0n]fullheart,5445,46,3,1,4,75.0%,28m
104,1,ShihYat,5441,992,23,20,43,53.5%,26m
105,1,[JIGLY]uWu,5439,48,1,3,4,25.0%,32m
105,1,[VlRGlN]Nicole,5439,0,0,3,3,0.0%,42m
107,1,[BRAAAP]GuruFan,5428,820,28,22,50,56.0%,3m
107,1,[LGCANZ]NXZ,5428,94,3,7,10,30.0%,41m
109,1,[Ris3n]fshhsdhf,5427,3164,571,453,1024,55.8%,3m
110,1,[Scyth]wAesoph,5425,0,0,1,1,0.0%,29m
111,1,[RnGpro]ScrubbleS,5420,1742,79,56,135,58.5%,15m
112,1,[Gainss]Weight,5417,94,2,1,3,66.7%,28m
113,1,FoxeRFaN,5416,164,4,1,5,80.0%,42m
114,1,Nine,5414,401,14,17,31,45.2%,3m
115,1,Meditail,5411,44,1,1,2,50.0%,15m
116,1,everett,5410,48,1,3,4,25.0%,37m
117,1,[ScSwrm]MeomaikaFan,5406,1757,148,120,268,55.2%,23m
118,1,[Ari]eSsXiV,5400,611,29,32,61,47.5%,9m
119,1,Seven,5398,480,18,21,39,46.2%,3m
120,1,[prOxi]NovaX,5397,0,1,0,1,100.0%,42m
121,1,aeontech,5376,1327,41,41,82,50.0%,3m
122,1,KingkOng,5374,260,6,12,18,33.3%,41m
123,1,IIIIIIIIIIII,5369,286,6,8,14,42.9%,41m
124,1,[VlRGlN]Pastry,5357,228,5,8,13,38.5%,37m
125,1,StuartLittle,5356,314,8,3,11,72.7%,41m
126,1,Jardozer,5355,1168,57,52,109,52.3%,9m
126,1,[VlRGlN]kinger,5355,190,4,3,7,57.1%,10m
128,1,[NM8]LilRocketMan,5350,3070,227,188,415,54.7%,3m
129,1,Snake,5347,657,18,11,29,62.1%,3m
129,1,[KingSC]BattoSai,5347,0,0,1,1,0.0%,23m
131,1,FixZerg,5345,841,32,34,66,48.5%,42m
132,1,[VlRGlN]llllllllllll,5343,120,3,4,7,42.9%,24m
132,1,[Gainss]SaltDZNuts,5343,0,1,0,1,100.0%,38m
134,1,[ROOT]ViBE,5342,2401,129,113,242,53.3%,3m
135,1,llllllllllll,5335,641,41,3,44,93.2%,24m
136,1,llllllllllll,5334,3086,446,369,815,54.7%,3m
136,1,llllllllllll,5334,0,0,1,1,0.0%,39m
138,1,[BearMe]Yours,5333,36,2,1,3,66.7%,32m
139,1,llllllllllll,5332,2948,144,98,242,59.5%,3m
140,1,[Slayor]glow,5331,0,0,1,1,0.0%,28m
141,1,VibesKYJelly,5330,0,0,1,1,0.0%,28m
142,1,Nimra,5329,0,1,0,1,100.0%,34m
143,1,llllllllllll,5327,144,4,1,5,80.0%,39m
144,1,Honeybear,5322,96,2,1,3,66.7%,39m
144,1,RainbowDash,5322,0,1,0,1,100.0%,15m
144,1,IIIIIIIIIIII,5322,0,0,1,1,0.0%,37m
147,1,[GlRTH]BigDikEnergy,5318,174,5,4,9,55.6%,41m
148,1,[GdAT]Vaisravana,5317,190,5,6,11,45.5%,24m
149,1,[LTK]Spit,5315,1629,263,210,473,55.6%,3m
149,1,[NOPVP]pHSPUq,5315,1124,51,28,79,64.6%,15m
151,1,llllllllllll,5314,1332,61,53,114,53.5%,9m
151,1,[TSØP]EON,5314,1516,59,59,118,50.0%,29m
151,1,Oessy,5314,262,7,4,11,63.6%,34m
154,1,[sn1p3d]Wade,5309,332,8,4,12,66.7%,9m
155,1,[TSØP]Chuerk,5306,474,14,25,39,35.9%,9m
155,1,[AMZN]Liqht,5306,0,1,0,1,100.0%,39m
157,1,Sunrise,5305,1505,87,39,126,69.0%,41m
157,1,WhineFarmer,5305,744,24,11,35,68.6%,15m
157,1,GAMETlME,5305,48,2,1,3,66.7%,31m
160,1,IIIIIIIIIIII,5303,84,2,1,3,66.7%,9m
160,1,[QcScT]LeErOy,5303,0,0,1,1,0.0%,31m
162,1,Hunta,5302,136,3,2,5,60.0%,15m
163,1,IIIIIIIIIIII,5301,722,33,25,58,56.9%,24m
164,1,Dunno,5294,360,9,4,13,69.2%,42m
165,1,[SsaYnS]Genie,5293,665,97,50,147,66.0%,41m
166,1,Watcho,5289,0,1,0,1,100.0%,9m
167,1,spectre,5287,0,0,3,3,0.0%,23m
168,1,iaguz,5286,996,158,98,256,61.7%,28m
169,1,[MadK]Rescue,5285,2674,222,91,313,70.9%,3m
170,1,Player,5284,985,33,38,71,46.5%,38m
170,1,[lCY]Jardozer,5284,130,3,3,6,50.0%,37m
172,1,[VFam2]ViBE,5280,1375,142,129,271,52.4%,38m
173,1,[Maplez]BAAAAAAAAANG,5277,995,43,32,75,57.3%,42m
173,1,[CYG]Alpha,5277,490,23,7,30,76.7%,32m
175,1,RifleCaster,5276,48,2,2,4,50.0%,38m
176,1,[beatem]IIIIIIIIIIII,5274,184,4,3,7,57.1%,41m
177,1,[uWu69]MackDaddy,5272,2620,103,89,192,53.6%,3m
178,1,[AIlin]TheWagon,5271,0,0,1,1,0.0%,37m
179,1,[0ooooo]RedViper,5266,3075,534,428,962,55.5%,3m
179,1,[FG]EGG,5266,2913,218,164,382,57.1%,3m
179,1,llllllll,5266,0,0,1,1,0.0%,23m
182,1,Solar,5265,905,34,3,37,91.9%,37m
183,1,[aGiNA]aGiLo,5262,102,9,16,25,36.0%,26m
184,1,[αB]Hyren,5259,1752,493,409,902,54.7%,29m
184,1,[Ex0n]Drikett,5259,0,1,2,3,33.3%,9m
186,1,[Lp]BrEnDaN,5257,1666,109,72,181,60.2%,28m
187,1,[DAVFAN]David,5254,774,43,19,62,69.4%,37m
188,1,DasDuelon,5253,44,1,1,2,50.0%,42m
189,1,[Ex0n]Spy,5252,1738,289,231,520,55.6%,10m
190,1,[FxB]Blodir,5248,0,0,1,1,0.0%,26m
191,1,[GnR]circle,5240,505,21,13,34,61.8%,26m
192,1,Bairdo,5239,174,4,2,6,66.7%,34m
193,1,[NPhase]DarkImpure,5238,2729,252,187,439,57.4%,3m
193,1,[ACSS]Pixel,5238,1438,55,44,99,55.6%,15m
195,1,[HRBNGR]SeOuLStEaL,5236,0,0,1,1,0.0%,9m
196,1,kyle,5234,1090,70,51,121,57.9%,41m
196,1,[RnGpro]Thor,5234,48,1,3,4,25.0%,28m
198,1,[2faded]Lostisland,5232,648,66,12,78,84.6%,9m
198,1,[cl0udM]ScrubbLord,5232,832,32,33,65,49.2%,9m
198,1,[MFSC2]pezzaperry,5232,446,12,15,27,44.4%,23m
201,1,llllllllllll,5226,0,0,1,1,0.0%,28m
202,1,[Ex0n]SpeCial,5224,0,1,1,2,50.0%,38m
203,1,[afterM]Albino,5223,741,22,25,47,46.8%,9m
204,1,[lLgNl]Benjadeath,5221,1557,56,51,107,52.3%,39m
205,1,[UpeV]BLord,5215,92,3,1,4,75.0%,10m
205,1,DscntDblChck,5215,96,3,4,7,42.9%,41m
207,1,[Micr0]Kimchi,5208,0,0,1,1,0.0%,39m
208,1,[KiMBR]ReMy,5206,537,30,13,43,69.8%,10m
209,1,[TGCF]GOTRUMPGO,5205,0,0,1,1,0.0%,10m
210,1,[Slayor]Noomi,5204,2951,481,407,888,54.2%,3m
210,1,[gromp]yuzuru,5204,164,5,4,9,55.6%,10m
212,1,[HOKUSA]TedCruzumaki,5203,871,51,13,64,79.7%,3m
212,1,OiWatson,5203,597,23,17,40,57.5%,10m
214,1,[ArGNA]Warren,5201,578,14,21,35,40.0%,39m
215,1,[ValidG]sadsadsad,5200,48,1,1,2,50.0%,23m
216,1,EterNaL,5199,0,0,3,3,0.0%,10m
217,1,[cl0udM]GANSTA,5197,0,0,2,2,0.0%,42m
218,1,[MSFT]SeibasAhoge,5196,2685,169,145,314,53.8%,3m
219,1,[LFClan]LAChef,5195,882,27,12,39,69.2%,10m
219,1,Whistler,5195,0,1,4,5,20.0%,38m
221,1,[WNTRLY]Kittystalker,5193,0,1,0,1,100.0%,32m
222,1,Calamitas,5192,464,17,13,30,56.7%,23m
222,1,[WNTR]WinterSC,5192,0,1,0,1,100.0%,10m
224,1,[SsaYnS]Hyuna,5189,999,45,36,81,55.6%,15m
224,1,[cl0udM]OldLadyNov,5189,48,2,3,5,40.0%,24m
226,1,[Zmash]JaKeN,5188,144,4,4,8,50.0%,10m
227,1,[GdAT]Nuks,5185,322,8,10,18,44.4%,28m
228,1,[ROOT]Neuro,5182,2587,116,101,217,53.5%,3m
228,1,IIIIIIIIIIII,5182,135,4,8,12,33.3%,26m
230,1,AssToAss,5181,96,3,5,8,37.5%,37m
231,1,PowerDrift,5180,48,2,0,2,100.0%,15m
231,1,Newsh,5180,0,0,1,1,0.0%,37m
233,1,lllIIIlllIII,5178,384,10,7,17,58.8%,38m
234,1,[NerfMe]Starelf,5177,594,23,30,53,43.4%,41m
235,1,[αB]Melody,5176,2651,317,302,619,51.2%,3m
235,1,[BearMe]Waldo,5176,48,1,1,2,50.0%,29m
237,1,MadLife,5175,0,0,4,4,0.0%,42m
