rank,tier,name,mmr,points,wins,losses,played,winrate,age
1,1,[GGGSC2]Cyan,6233,3035,158,22,180,87.8%,4m
2,1,[那绝对不可能]夜蝶蝶蝶蝶蝶蝶蝶,6111,2092,94,6,100,94.0%,4m
3,1,[TeamLP]JieShi,6110,3035,194,23,217,89.4%,4m
4,1,[iGSCII]iGMacSed,6023,2354,112,20,132,84.8%,11m
5,1,[同化完成了]TSGCloudy,6006,48,2,1,3,66.7%,23m
6,1,小金者,5922,1230,59,16,75,78.7%,18m
7,1,[不讲武德]郑德重,5847,384,9,6,15,60.0%,11m
8,1,[早上好]SiaFerox,5811,0,0,1,1,0.0%,19m
9,1,[Lorie]爱护萝莉,5767,0,1,0,1,100.0%,24m
10,1,[蓬莱伝説]红球球,5751,361,23,10,33,69.7%,19m
11,1,[PTB]DPGEnchant,5692,2665,125,60,185,67.6%,4m
12,1,[KeRn]oRyoN,5674,0,1,0,1,100.0%,23m
13,1,[AnSwer]Omega,5671,1954,103,18,121,85.1%,18m
14,1,[守护内心秩序]神气宝贝,5667,0,1,3,4,25.0%,19m
15,1,[天界]Wzq,5632,0,1,0,1,100.0%,19m
16,1,[丨SLT丨]Yukki,5624,2941,285,160,445,64.0%,4m
17,1,[iGSCII]iGCoffeeMs,5614,126,3,2,5,60.0%,23m
18,1,投资银行不投资,5569,885,24,6,30,80.0%,17m
18,1,[全天在线]全网最低神族教学,5569,249,17,16,33,51.5%,49m
20,1,TOTO,5567,96,7,2,9,77.8%,12m
21,1,[岁月]月迷枫影,5566,0,1,0,1,100.0%,19m
22,1,[Beauti]Venus,5561,0,0,1,1,0.0%,19m
23,1,[Ogier]IIIIIIIIIIII,5540,0,1,0,1,100.0%,17m
24,1,[SLTHHH]SADFANS,5530,2836,168,77,245,68.6%,4m
25,1,Bloodless,5526,1540,42,8,50,84.0%,19m
26,1,[星际教学组]sweet,5513,0,1,0,1,100.0%,17m
27,1,IIIIIIII,5501,946,21,2,23,91.3%,12m
28,1,我永远喜欢加藤惠,5496,0,1,0,1,100.0%,49m
29,1,[XYFANS]AdrenalinE,5493,147,3,3,6,50.0%,11m
30,1,[PTB]MATH,5472,2312,300,121,421,71.3%,17m
31,1,[Beasty]Maxpff,5470,452,14,4,18,77.8%,17m
32,1,[丨SLT丨]苏言,5443,222,6,7,13,46.2%,4m
33,1,[HHHFAN]rewhitefans,5428,782,34,12,46,73.9%,54m
34,1,弥新,5417,393,11,4,15,73.3%,4m
35,1,llllllllllll,5413,894,46,18,64,71.9%,24m
36,1,[TNLet]季裂鲜明,5410,1938,94,48,142,66.2%,54m
37,1,[小仙女联盟]沧海客,5381,942,48,15,63,76.2%,54m
38,1,[XYFANS]鸟哥真爱粉,5373,3141,184,86,270,68.1%,4m
38,1,[TNLet]飞环,5373,188,5,0,5,100.0%,23m
40,1,[吹毛]沧海客,5368,1628,60,35,95,63.2%,4m
41,1,[SoIoAs]沧海客,5366,1082,52,15,67,77.6%,18m
42,1,[PTB]Alka,5361,3122,169,99,268,63.1%,4m
43,1,[VirGo]KloulriD,5360,1182,55,39,94,58.5%,18m
43,1,[金灿灿狙击队]白花花,5360,144,4,0,4,100.0%,18m
45,1,IIIIIIIIIII,5356,0,0,1,1,0.0%,17m
46,1,[VirGo]鲜明,5347,1494,143,87,230,62.2%,54m
47,1,[金灿灿狙击队]你尽然不知道狗哥,5340,144,4,1,5,80.0%,11m
48,1,ByuN,5330,603,27,8,35,77.1%,19m
48,1,[Revive]LPU,5330,518,12,9,21,57.1%,18m
50,1,[VirGo]Blood,5327,144,4,0,4,100.0%,12m
51,1,[XYFANS]不讲武德的年轻人,5322,607,23,17,40,57.5%,11m
52,1,[暗中观鸡]肖嗨佬,5312,750,17,3,20,85.0%,49m
53,1,llllllllllll,5310,336,10,1,11,90.9%,4m
54,1,[传说萌娘团]萝莉沧海客,5307,648,28,2,30,93.3%,11m
54,1,[享受星际]南京胡翔,5307,48,1,1,2,50.0%,17m
56,1,[独行无名流]无名一统地堡宗师,5303,3019,346,234,580,59.7%,4m
57,1,[金灿灿狙击队]Yancy,5301,3041,235,155,390,60.3%,4m
58,1,星空凛凛凛凛凛凛,5297,2010,124,74,198,62.6%,17m
59,1,[Thpj]Psmoonsun,5285,73,1,1,2,50.0%,18m
60,1,[享受星际]极光永夜,5274,130,4,0,4,100.0%,24m
61,1,[SoloAs]Bistork,5267,1211,58,9,67,86.6%,26m
62,1,Nezuko,5265,0,3,2,5,60.0%,12m
63,1,llllllllllll,5256,2019,102,59,161,63.4%,4m
64,1,IIIIIIIIIIII,5241,2427,155,88,243,63.8%,4m
65,1,[肉鸡的饲养]如何共勉,5239,178,4,3,7,57.1%,13m
66,1,[Ogier]月光下的流水,5236,0,1,0,1,100.0%,12m
67,1,Zeus,5234,0,1,0,1,100.0%,19m
68,1,[神域天堂]武神,5232,0,1,0,1,100.0%,19m
69,1,[ZJU]Daydreamer,5231,46,2,2,4,50.0%,11m
70,1,[BLaDe]小坚强,5223,749,21,20,41,51.2%,54m
71,1,TIME,5221,915,29,4,33,87.9%,54m
72,1,KingT,5219,697,33,14,47,70.2%,18m
72,1,[ISENGD]NEWBIES,5219,582,20,4,24,83.3%,4m
74,1,[Solo]nEOiMAGING,5217,0,0,1,1,0.0%,18m
75,1,[IMRTS]PolamaWang,5214,0,1,0,1,100.0%,12m
76,1,[金灿灿狙击队]TOTO,5207,44,2,1,3,66.7%,5m
77,1,[樱火之森]乱舞,5206,0,0,1,1,0.0%,17m
78,1,[北京大学鸡协]搜到我你已经赢了,5203,0,0,1,1,0.0%,17m
78,1,浅小言,5203,0,0,1,1,0.0%,18m
80,1,llllllllllll,5201,476,11,6,17,64.7%,24m
80,1,[SSCG]诺娃誓死不出兵,5201,26,3,1,4,75.0%,12m
82,1,[享受星际]乌龟,5198,140,4,6,10,40.0%,17m
83,1,IIIIIIIIIIII,5193,229,6,5,11,54.5%,4m
84,1,[丨SLT丨]陈忱只会跳鸡猎,5181,762,18,11,29,62.1%,24m
84,1,灰冬,5181,0,0,1,1,0.0%,19m
84,1,[丨SLT丨]IIIIIIIIIIII,5181,0,0,1,1,0.0%,18m
87,1,[AnSwer]牛顿炖牛肉,5178,0,1,0,1,100.0%,49m
88,1,你竟然不认识硕哥,5177,0,0,1,1,0.0%,24m
89,1,[Shawk]ChiHiro,5175,1552,75,40,115,65.2%,12m
90,1,[SoloAs]Resolution,5172,0,1,1,2,50.0%,24m
91,1,斯嘉丽,5164,679,33,11,44,75.0%,54m
92,1,[Sv]羽瀨川小笛,5163,310,8,11,19,42.1%,5m
93,1,[五月花]llllllllllll,5156,1247,80,41,121,66.1%,18m
94,1,[冰泪湖的岸边]冰冻誓言,5155,1533,68,55,123,55.3%,4m
95,1,[SK]IIIIIIIIII,5153,272,7,4,11,63.6%,17m
96,1,[干拉炒面]三维立体混元劲,5152,1510,73,45,118,61.9%,4m
97,1,[SK]ivy,5149,433,15,6,21,71.4%,4m
98,1,[HST]牙隹雅,5146,46,2,2,4,50.0%,17m
99,1,神绮,5138,169,20,10,30,66.7%,23m
100,1,RBGHOS,5137,330,7,7,14,50.0%,17m
101,1,[享受星际]soso,5136,926,23,24,47,48.9%,19m
101,1,字数补丁,5136,154,5,1,6,83.3%,49m
103,1,llllllllllll,5134,0,1,0,1,100.0%,12m
104,1,[Holygl]expertX,5131,534,21,19,40,52.5%,11m
105,1,HfYuki,5125,1634,83,56,139,59.7%,11m
106,1,[PTB]布基波普,5122,96,2,0,2,100.0%,19m
107,1,[Ogier]Moonlight,5121,0,1,0,1,100.0%,12m
108,1,[不可能会]真有人打不过我吧,5118,812,88,66,154,57.1%,26m
109,1,[湖南大学]掠影,5116,2930,324,242,566,57.2%,4m
110,1,llllllllllll,5114,1027,57,44,101,56.4%,17m
111,1,闪击英雄,5107,0,1,0,1,100.0%,24m
112,1,[浅小言]dhyhecker,5106,211,23,12,35,65.7%,24m
113,1,[PTB]DiscoProtoss,5103,178,5,0,5,100.0%,54m
114,1,[苍之彼方]鸢泽美咲,5102,1224,76,50,126,60.3%,26m
114,1,llllllllllll,5102,1146,28,15,43,65.1%,12m
116,1,Jackywu,5100,2621,130,90,220,59.1%,4m
116,1,[星际教学组2]艾尔航母,5100,1150,29,24,53,54.7%,24m
118,1,[Maxp]pff,5097,225,11,2,13,84.6%,19m
118,1,梅普璐,5097,0,1,0,1,100.0%,5m
120,1,[Ogier]反正我只爱小红红,5096,46,1,2,3,33.3%,12m
121,1,[SCJWJ3]IIIIIIIIIIII,5082,2877,174,132,306,56.9%,4m
122,1,[RSTAR]白给小菜鸡,5081,960,41,23,64,64.1%,49m
123,1,Opportunity,5078,507,25,6,31,80.6%,17m
124,1,[金灿灿狙击队]FoolishYX,5077,165,20,10,30,66.7%,23m
125,1,[LDP]Twins,5070,0,0,1,1,0.0%,5m
126,1,苏州孙一峰,5067,0,3,2,5,60.0%,26m
126,1,[笙风]笙风,5067,0,0,1,1,0.0%,13m
128,1,科普卢第一小仙女,5066,0,0,1,1,0.0%,18m
129,1,[PTB]DespeRado,5058,511,19,18,37,51.4%,4m
129,1,[SK]FreedomJay,5058,197,13,2,15,86.7%,23m
131,1,[小小小橘猫]Flash,5057,92,3,5,8,37.5%,17m
132,1,[学习使我快乐]小林者,5049,0,1,0,1,100.0%,5m
133,1,llllllllllll,5047,0,1,0,1,100.0%,19m
134,1,[浙江工商大学]superMC,5046,44,1,1,2,50.0%,12m
135,1,[妙手回春]Dreamhaven,5044,140,3,2,5,60.0%,24m
136,1,[Thpj]闪击英雄,5042,422,10,6,16,62.5%,23m
136,1,[Beasty]aier,5042,0,1,0,1,100.0%,5m
136,1,[PTB]若世有神明,5042,0,0,1,1,0.0%,13m
139,1,[KPG]我是隐形的寡妇雷,5036,512,12,9,21,57.1%,11m
140,1,[不要叫我毒爆]艾尔毒爆,5033,360,22,2,24,91.7%,19m
141,1,llllllllllll,5032,765,38,25,63,60.3%,12m
142,1,丨丨丨丨丨丨丨丨,5030,0,0,1,1,0.0%,5m
143,1,[Marry]我队友是鸡,5026,0,0,1,1,0.0%,26m
144,1,tinypig,5025,2848,155,108,263,58.9%,4m
144,1,高考完就回来,5025,0,0,1,1,0.0%,54m
146,1,[PsNasa]Zest,5023,0,0,1,1,0.0%,19m
147,1,[IMRTS]IIIIIIIIIIII,5022,0,0,1,1,0.0%,17m
148,1,[肉鸡的饲养]魔法骚女凯露酱,5021,534,22,10,32,68.8%,4m
148,1,[o瞳孔o]Vip,5021,0,0,1,1,0.0%,26m
148,1,[o瞳孔o]吹梦到西洲,5021,0,0,1,1,0.0%,12m
151,1,[金击圆弧]llllllllllll,5020,2585,278,211,489,56.9%,4m
151,1,[南京大学]明年入学,5020,0,0,1,1,0.0%,54m
153,1,[RTSGo]XiaMenByuN,5017,0,1,0,1,100.0%,17m
154,1,[雨何时会下]ATRI,5016,310,45,8,53,84.9%,17m
154,1,[凯哥集团]闪电风暴,5016,237,34,20,54,63.0%,49m
154,1,[TAK]SamAir,5016,0,1,0,1,100.0%,19m
157,1,[神界]女王,5014,0,1,0,1,100.0%,19m
