rank,tier,name,mmr,points,wins,losses,played,winrate,age
1,1,[GGGSC2]Cyan,5925,378,9,2,11,81.8%,18m
2,1,OGNotail,5327,354,9,0,9,100.0%,14m
3,1,雅雅国国王王雅雅,5303,0,4,3,7,57.1%,21m
4,1,[Rhusky]Poseidon,5273,0,4,1,5,80.0%,14m
5,1,旁白白,5249,0,1,0,1,100.0%,7m
6,1,[黄漫老师]香风和泉,5210,142,4,2,6,66.7%,13m
6,1,IIIIIIIIIIII,5210,46,2,0,2,100.0%,27m
8,1,llllllllllll,5163,73,3,2,5,60.0%,2m
9,1,专业抬棺团队,5162,0,3,2,5,60.0%,54m
10,1,不讲武德,5123,404,8,8,16,50.0%,22m
11,1,[星际鸽子组]铝离子,5103,1296,56,38,94,59.6%,2m
12,1,[祝暴雪倒闭]llllllllllll,5098,73,2,3,5,40.0%,2m
13,1,救赎,5072,0,0,1,1,0.0%,7m
14,2,[ZJU]Daydreamer,5071,0,2,3,5,40.0%,10m
15,1,[YMET]Shiro,5065,606,14,16,30,46.7%,7m
16,1,[Thpj]泡泡小纯,5049,0,1,0,1,100.0%,55m
17,1,苏州孙一峰,5040,92,4,3,7,57.1%,16m
18,1,[TPoA]全都是等号,5038,178,5,8,13,38.5%,18m
19,1,[Rhusky]苏梦梦,5010,118,6,0,6,100.0%,2m
20,1,[小狐狸真可爱]睡不醒的栗子喵,4956,0,2,3,5,40.0%,16m
21,1,[金灿灿狙击队]神速偷鸡,4952,419,17,13,30,56.7%,2m
21,1,[NavyF]isenguard,4952,48,1,1,2,50.0%,55m
23,1,[有投行推叫我]Ange,4935,0,0,3,3,0.0%,54m
24,1,运气是我实力全部,4934,48,2,1,3,66.7%,14m
25,1,㞺㞺㞺㞺㞺㞺㞺㞺,4902,934,37,28,65,56.9%,7m
26,1,[Beasty]Maru,4895,0,0,1,1,0.0%,50m
27,3,爱神,4877,0,1,0,1,100.0%,2m
28,1,llllllllllll,4853,180,4,5,9,44.4%,13m
29,1,[人族是我爹]仲夏夜粉丝,4831,674,18,12,30,60.0%,14m
30,1,[羊驼羊驼羊]AbyssApostl,4829,0,0,1,1,0.0%,50m
31,1,[封弊者]三世,4827,0,1,0,1,100.0%,18m
32,1,[大佬请把鞋给]君心可晴,4826,124,3,5,8,37.5%,18m
33,3,[Solo]Lifestyle,4825,0,0,5,5,0.0%,25m
34,1,[NT]DraCula,4823,898,34,22,56,60.7%,18m
34,1,高阶圣堂武士,4823,12,5,1,6,83.3%,14m
36,3,小顾顾,4800,0,2,0,2,100.0%,24m
37,3,[6点准时下班]郑老头,4788,0,1,0,1,100.0%,8m
38,1,Eustace,4787,466,24,6,30,80.0%,2m
39,1,[KPG]事件视界,4784,867,34,24,58,58.6%,18m
40,1,[混元太极星际]MagicTerran,4760,0,0,2,2,0.0%,14m
41,1,[KPG]大爱许单言,4753,139,6,3,9,66.7%,16m
42,1,[享受星际]南工大旋风解放王,4748,2661,165,140,305,54.1%,22m
42,3,[Solo]nEOiMAGING,4748,0,0,1,1,0.0%,8m
44,2,[BGD]繁星,4745,203,11,6,17,64.7%,27m
45,1,jianhao,4741,0,1,2,3,33.3%,26m
46,1,[Ogier]JOJO,4726,82,3,0,3,100.0%,55m
47,1,榕江小子,4720,0,0,1,1,0.0%,54m
48,1,[SLTHHH]SADFANS,4708,314,12,5,17,70.6%,19m
49,3,[高樂集团]JackSparrow,4705,48,2,2,4,50.0%,52m
50,3,人类,4701,0,1,1,2,50.0%,2m
51,1,[赌怪]东京孙一峰,4687,514,27,9,36,75.0%,16m
52,1,[千痔王]金山孙一峰,4684,0,1,0,1,100.0%,55m
53,1,[Shawk]国家级运动员,4680,0,0,1,1,0.0%,14m
54,1,IIIIIIIIIIII,4679,46,1,1,2,50.0%,55m
55,1,[SK]Gloriam,4669,374,43,40,83,51.8%,18m
56,1,ssssssssssss,4664,2804,223,211,434,51.4%,27m
57,3,[星河气象学院]谁狗谁孙子,4662,0,1,0,1,100.0%,8m
58,1,[SK]超高校级的泰伦,4661,0,1,2,3,33.3%,18m
59,1,[SoloAs]xsslqdz,4657,180,8,5,13,61.5%,27m
60,1,[四叶草]wwww,4649,92,6,5,11,54.5%,16m
61,1,[OLY]Invincible,4647,44,2,0,2,100.0%,55m
61,3,www,4647,0,1,1,2,50.0%,14m
63,3,[Kiloli]锉刀绫濑,4644,0,0,1,1,0.0%,20m
64,1,[RSTAR]STAR,4640,391,13,7,20,65.0%,55m
65,1,[妙手回春]Dreamhaven,4637,126,3,1,4,75.0%,55m
66,3,[很萌日很新]王英俊,4632,0,0,1,1,0.0%,21m
67,1,迷迷糊糊的孩子,4620,441,13,12,25,52.0%,27m
68,1,男同竟是所有人呢,4619,169,2,43,45,4.4%,22m
69,1,弧光灯,4615,0,1,4,5,20.0%,1m
70,3,TOTO,4614,97,2,0,2,100.0%,21m
71,1,二一六,4607,0,0,1,1,0.0%,55m
72,1,罪天使,4600,0,1,0,1,100.0%,53m
73,1,[SCAP]llllllllllll,4589,330,12,12,24,50.0%,14m
74,1,修地堡单矿一波,4584,0,1,1,2,50.0%,13m
75,1,夜幕冬至,4583,575,25,20,45,55.6%,22m
76,3,[Rhusky]IceLin,4578,24,1,6,7,14.3%,20m
77,1,灰冬,4576,2871,235,243,478,49.2%,22m
78,1,丨丨丨丨丨丨丨丨,4567,0,0,2,2,0.0%,7m
79,1,[湖南大学]掠影,4564,1460,55,56,111,49.5%,14m
80,1,[帅得不行的]喵先生,4563,130,6,2,8,75.0%,18m
81,1,[威震天下]Bumblebee,4562,600,22,21,43,51.2%,55m
81,1,[练出来了协会]recO,4562,0,4,1,5,80.0%,2m
81,1,[星选组]暴雪的爹,4562,0,0,1,1,0.0%,18m
84,3,NADA,4559,121,2,2,4,50.0%,25m
85,1,InnoVation,4555,88,2,4,6,33.3%,18m
85,1,[Hist]HistOG,4555,0,0,1,1,0.0%,53m
87,2,[七咕咕]Linus,4545,102,4,1,5,80.0%,5m
87,1,[喂了虫群]TilinZuokana,4545,0,1,0,1,100.0%,51m
89,1,[上海大学]白筑慕,4525,48,3,2,5,60.0%,53m
90,2,[雨何时会停]Akiha,4524,603,19,14,33,57.6%,27m
91,1,[miku守护]御神夜,4516,0,1,0,1,100.0%,17m
92,1,[白给的神]动作指导,4512,106,3,7,10,30.0%,19m
93,2,[青娱乐]假装小迷妹的尼酱,4509,0,0,1,1,0.0%,10m
94,2,[保国尾汁酱]SarreL,4492,18,1,3,4,25.0%,10m
95,2,llllllllllll,4489,0,0,1,1,0.0%,5m
96,2,[肉鸡的饲养]魔法少女猫猫酱,4481,0,0,1,1,0.0%,50m
97,1,[浪啊浪]忘记你需要多久,4475,0,1,0,1,100.0%,22m
