rank,tier,name,mmr,points,wins,losses,played,winrate,age
1,1,[惠软]安艺伦也,6423,0,1,0,1,100.0%,24m
2,1,[iGSCII]iGCoffeeMs,6299,2860,170,17,187,90.9%,3m
3,1,[iGSCII]iGXY,6038,2361,124,24,148,83.8%,3m
4,1,[TNL]SpeakNow,5971,0,0,1,1,0.0%,11m
5,1,[XYFANS]鸟哥真爱粉,5859,0,3,1,4,75.0%,11m
6,1,IIIIIIIIIIII,5852,0,1,0,1,100.0%,37m
7,1,狐狸的小和,5781,48,1,3,4,25.0%,6m
8,1,[BLaDe]小坚强,5771,789,37,19,56,66.1%,37m
9,1,[鸟哥FANS]BDG,5748,0,0,1,1,0.0%,11m
10,1,[高樂集团]OOOOOOOOO,5696,190,5,0,5,100.0%,6m
11,1,[丨SLT丨]皮皮虾,5670,2332,124,68,192,64.6%,37m
12,1,[Hist]Soularium,5668,361,13,1,14,92.9%,36m
13,1,IIIIIIIIIIII,5615,535,22,7,29,75.9%,9m
14,1,[滑稽团]DawnLu,5591,0,0,1,1,0.0%,42m
15,1,[ZJU]Daydreamer,5555,0,1,0,1,100.0%,8m
16,1,[至高内歼]CQEDC,5547,238,5,1,6,83.3%,8m
17,1,[AnSwer]CarGO,5525,0,1,0,1,100.0%,43m
18,1,[Thpj]上海人形,5521,238,5,3,8,62.5%,8m
19,1,[FDSJ]Joseph,5509,0,1,0,1,100.0%,36m
20,1,[TGE]killer,5508,280,7,6,13,53.8%,42m
20,1,[阴影城]撕布累死,5508,0,1,0,1,100.0%,16m
22,1,[RSTAR]STAR,5495,48,2,0,2,100.0%,16m
23,1,[红曜石]爱因克洛提德,5488,530,14,4,18,77.8%,5m
24,1,[BJTU]WheelGunGun,5485,97,2,0,2,100.0%,11m
25,1,一级顶别人一百级,5484,0,0,1,1,0.0%,11m
26,1,[IMRTS]IIIIIIIIIIII,5477,1744,271,133,404,67.1%,3m
27,1,[妙手回春]Dreamhaven,5425,0,1,0,1,100.0%,43m
28,1,Amaranthine,5418,0,1,0,1,100.0%,6m
29,1,专业抬棺团队,5403,178,5,1,6,83.3%,9m
30,1,[SK]Local,5393,0,1,0,1,100.0%,37m
31,1,[Thpj]喵發,5392,140,4,1,5,80.0%,43m
32,1,[菜场]西红柿,5382,40,1,2,3,33.3%,43m
33,1,LPSTAR,5374,0,1,0,1,100.0%,43m
34,1,冷酷之盗贼,5358,184,4,2,6,66.7%,36m
35,1,[SK]祝你今天愉快,5352,990,35,14,49,71.4%,3m
36,1,[Thpj]阴间杀手,5347,190,6,0,6,100.0%,8m
37,1,[半个菜鸟]sGTYLGDTaidy,5344,0,0,1,1,0.0%,24m
38,1,[楠妈妈]楠妈妈,5333,822,38,23,61,62.3%,38m
39,1,[极品菜鸟]我又不空大,5330,3085,258,191,449,57.5%,3m
40,1,[Faith]雪之下雪乃,5327,0,0,1,1,0.0%,43m
41,1,[我们的奇迹]高坂穗乃果,5326,0,0,1,1,0.0%,9m
42,1,[合作老司机]黯淡卟变,5321,97,2,0,2,100.0%,36m
42,1,[PTB]垃圾人族菲斯,5321,0,0,1,1,0.0%,24m
44,1,[疼王阁]丶小庝,5318,401,21,0,21,100.0%,5m
45,1,[Rhusky]IceLin,5317,540,26,5,31,83.9%,8m
46,1,冻土森林的大蒜头,5304,2075,123,51,174,70.7%,3m
47,1,猜猜我是谁,5296,232,5,11,16,31.2%,42m
48,1,[Ogier]GhosT,5292,1949,104,58,162,64.2%,3m
49,1,[虫就输不了]鹿游原,5285,554,12,11,23,52.2%,38m
50,1,愤怒的垮爷,5282,0,0,1,1,0.0%,24m
51,1,[EL骑士团]星际队长,5279,0,0,1,1,0.0%,43m
52,1,[KeRn]oRyoN,5265,80,3,0,3,100.0%,5m
53,1,[Hist]yamworld,5262,3071,377,201,578,65.2%,3m
54,1,[TPoA]全都是等号,5259,828,19,9,28,67.9%,6m
55,1,[TeamLP]JieShi,5236,364,13,10,23,56.5%,7m
56,1,IIIIIIIIIIII,5234,1655,122,71,193,63.2%,24m
57,1,[传说萌娘团]魔法少女喵喵酱,5225,0,0,2,2,0.0%,36m
58,1,Air,5213,727,53,21,74,71.6%,9m
59,1,[上分女孩]Neko,5209,0,1,0,1,100.0%,5m
60,1,llllllllllll,5204,873,32,23,55,58.2%,3m
61,1,[是我赢了]Nightmares,5203,378,20,11,31,64.5%,38m
62,1,[吾乃津门莽霸]跳跳跳跳虫,5202,0,0,1,1,0.0%,6m
63,1,[重拾]HistGor,5194,0,0,2,2,0.0%,6m
64,1,[NS]IIIIIlIIIlll,5188,0,1,0,1,100.0%,11m
65,1,[肉鸡的饲养]llllllllllll,5187,510,28,3,31,90.3%,9m
66,1,llllllllllll,5178,943,36,23,59,61.0%,3m
67,1,[Hist]Narzisse,5168,0,0,1,1,0.0%,6m
68,1,极夜,5165,2312,122,61,183,66.7%,3m
69,1,旁白白,5163,0,0,3,3,0.0%,11m
70,1,[星选组]暴雪的爹,5144,0,0,3,3,0.0%,7m
