rank,tier,name,mmr,points,wins,losses,played,winrate,age
1,1,Hukuro,6108,3372,281,96,377,74.5%,4m
2,1,㞺㞺㞺㞺㞺㞺㞺㞺,5967,1910,184,41,225,81.8%,28m
3,1,[守护内心秩序]神气宝贝,5959,96,2,1,3,66.7%,35m
4,1,[2天一盘]Reyna,5945,2220,126,35,161,78.3%,22m
5,1,[一觞醉红颜]执笔道思念,5795,3379,613,178,791,77.5%,4m
6,1,iGXiGua,5739,1647,104,16,120,86.7%,1h
7,1,雅雅国国王王雅雅,5650,1499,86,33,119,72.3%,35m
8,1,[皇子]Fluctus,5623,756,20,3,23,87.0%,27m
9,1,[FDSJ]密苏里号,5568,750,17,10,27,63.0%,27m
10,1,[丨SLT丨]柳丁,5522,2986,229,160,389,58.9%,4m
11,1,[龍之帝国]泡默,5503,2040,92,34,126,73.0%,4m
12,1,石原里美,5494,2016,91,49,140,65.0%,21m
13,1,刘珂嘉最帅,5482,745,38,12,50,76.0%,28m
14,1,HenI,5471,96,3,2,5,60.0%,15m
15,1,[Solo]饿坏了的渐冻,5389,0,0,1,1,0.0%,1h
16,1,[你已经死啦]Ccli,5378,0,1,0,1,100.0%,21m
17,1,[青娱乐]IIIIIIIII,5370,0,0,1,1,0.0%,27m
18,1,[Ogier]反正我又不会玩,5358,272,7,4,11,63.6%,1h
19,1,WinterZerg,5350,1587,71,43,114,62.3%,27m
20,1,[ToHost]CLastZ,5334,2697,124,87,211,58.8%,4m
21,1,[猪一样的盟友]神一样的高手,5330,0,1,0,1,100.0%,30m
22,1,[Rhusky]TOTO,5329,1034,30,6,36,83.3%,22m
23,1,llllllllllll,5324,0,1,0,1,100.0%,34m
24,1,[狄恩]ScParadise,5320,0,0,1,1,0.0%,30m
25,1,[武汉理工大学]Serral,5296,1310,59,35,94,62.8%,37m
26,1,强者,5277,0,0,1,1,0.0%,30m
27,1,[人族是我爹]仲夏夜粉丝,5245,0,1,0,1,100.0%,27m
28,1,[圣光无用]鸿爪踏雪泥,5234,0,0,1,1,0.0%,35m
29,1,[心锁]花绮千雪,5231,0,0,1,1,0.0%,22m
30,1,llllllllllll,5222,46,2,0,2,100.0%,7m
31,1,[所向无前]虎牙丶苏黎,5221,424,22,8,30,73.3%,7m
32,1,混元星际大师兄,5219,2987,210,144,354,59.3%,4m
33,1,IIIIIIIIIIII,5215,228,5,5,10,50.0%,21m
34,1,[孙红雷]Braveheart,5213,1474,68,48,116,58.6%,4m
35,1,[ToHost]涂山红红,5211,627,28,8,36,77.8%,28m
36,1,[PTB]Heller,5202,2458,167,112,279,59.9%,4m
37,1,Clay,5201,0,1,0,1,100.0%,34m
38,1,[金灿灿狙击队]如是我闻,5200,837,36,32,68,52.9%,24m
39,1,[Shawk]Danny,5198,0,1,1,2,50.0%,7m
40,1,[Thpj]喵發,5195,46,1,1,2,50.0%,34m
40,1,[姜中实验小学]和泉纱雾,5195,0,0,1,1,0.0%,35m
42,1,[Hist]淄博虫王,5193,46,1,1,2,50.0%,35m
43,1,[恶狗服粗棍]GOLDMADMAN,5192,1299,150,111,261,57.5%,1h
44,1,孤鸿寄语,5189,2410,148,114,262,56.5%,27m
44,1,[哔哩哔哩乾杯]泽城美雪,5189,944,38,26,64,59.4%,22m
46,1,[金灿灿狙击队]FoolishYX,5187,132,4,4,8,50.0%,15m
47,1,[情谊至上]臭八八,5171,0,0,1,1,0.0%,22m
48,1,[我不是乱舞]狂花,5163,855,35,26,61,57.4%,37m
49,1,[SteEng]DEPEE,5148,2155,110,61,171,64.3%,4m
50,1,[华尔街股神]罗杰斯,5139,0,1,0,1,100.0%,1h
51,1,[节操满满的]犬走椛,5137,0,0,1,1,0.0%,37m
52,1,[小小怪怪]Dark,5131,735,32,32,64,50.0%,21m
