rank,tier,name,mmr,points,wins,losses,played,winrate,age
1,1,DieMauer,7172,0,1,0,1,100.0%,11m
2,1,IlIlIlIlIlIl,7165,0,1,0,1,100.0%,15m
3,1,DieMauer,6986,4357,546,177,723,75.5%,2m
4,1,[Ex0n]MaxPax,6908,1465,61,26,87,70.1%,11m
5,1,llIllIllIllI,6849,4264,199,98,297,67.0%,2m
6,1,[сSсǃ]GunGFuBanDa,6844,2388,121,72,193,62.7%,11m
7,1,[TlNG]Neeblet,6788,1871,272,129,401,67.8%,10m
8,1,[Blacer]Krystianer,6715,2151,240,116,356,67.4%,2m
9,1,[сSсǃ]SKillous,6688,288,7,0,7,100.0%,2m
10,1,IlIlIlIlIlIl,6667,4115,419,268,687,61.0%,2m
11,1,TheCowboy,6666,4133,356,192,548,65.0%,2m
12,1,SheriffGuana,6658,4122,166,115,281,59.1%,2m
13,1,TLHarstem,6650,2411,56,23,79,70.9%,4m
14,1,[ArGGEU]ShaDoWn,6635,2218,126,76,202,62.4%,11m
15,1,llIlIlIllIIl,6629,73,0,1,1,0.0%,4m
16,1,IIIIIIIIIIII,6627,410,9,1,10,90.0%,2m
17,1,[QLASH]HellraiseR,6610,1744,51,20,71,71.8%,2m
18,1,LiquidMaNa,6554,4058,274,144,418,65.6%,2m
19,1,llllllllllll,6553,835,37,19,56,66.1%,15m
20,1,DrogoTalks,6543,1869,100,55,155,64.5%,9m
21,1,lIlIlIlIlIlI,6522,4036,134,85,219,61.2%,2m
22,1,IlIlIlIlIlIl,6504,497,18,16,34,52.9%,2m
23,1,[сSсǃ]SKILLOUS,6490,3976,244,131,375,65.1%,2m
24,1,[TRotti]goblin,6485,2747,105,93,198,53.0%,2m
25,1,llIlIllIlIll,6463,432,9,5,14,64.3%,35m
26,1,[Ex0n]Geralt,6459,3770,325,220,545,59.6%,2m
27,1,IIIIIIIIIIII,6458,336,8,3,11,72.7%,4m
28,1,LiquidClem,6454,3753,152,87,239,63.6%,2m
29,1,llllllllllll,6430,0,1,0,1,100.0%,15m
30,1,IIIIIIIIIIII,6429,0,1,0,1,100.0%,18m
31,1,[AvrilT]AvrilLavigne,6390,48,2,0,2,100.0%,17m
32,1,llllllllllll,6387,1159,33,13,46,71.7%,2m
33,1,llllllllllll,6374,624,13,4,17,76.5%,11m
34,1,[αX]Astrea,6353,3065,87,67,154,56.5%,2m
35,1,[ROOT]DisK,6325,551,11,2,13,84.6%,2m
36,1,Tassadary,6322,0,0,1,1,0.0%,13m
37,1,lllIlllIllIl,6300,672,15,7,22,68.2%,12m
38,1,BKW,6281,1083,44,9,53,83.0%,13m
39,1,[WinX]Progamer,6275,146,22,9,31,71.0%,12m
40,1,lllllllllll,6247,348,80,57,137,58.4%,34m
41,1,[ArGGEU]Spatz,6242,3848,324,235,559,58.0%,2m
42,1,ScottSpark,6238,1616,53,15,68,77.9%,2m
43,1,[Ex0n]Adonminus,6222,1868,75,59,134,56.0%,2m
43,1,[ZGKA]IMBAPI,6222,0,1,0,1,100.0%,15m
45,1,[Нasu]Nicoract,6218,0,0,1,1,0.0%,35m
46,1,IIIIIIIIIIII,6217,0,1,0,1,100.0%,8m
47,1,KanyeWest,6213,1642,70,48,118,59.3%,4m
48,1,[BeSC]HolyHit,6183,480,11,12,23,47.8%,11m
49,1,[Hаsu]MindelVK,6173,1680,66,52,118,55.9%,14m
50,1,llllllllllll,6172,192,5,0,5,100.0%,32m
51,1,[ArGGEU]Marsman,6166,1351,110,86,196,56.1%,18m
52,1,[EZ4XY]iGMacSed,6161,964,41,21,62,66.1%,11m
53,1,llllllllllll,6155,3560,141,95,236,59.7%,2m
54,1,IIIIIIIIIIII,6144,528,11,8,19,57.9%,12m
55,1,IIIIIIIIII,6137,1042,23,9,32,71.9%,17m
56,1,HeckinHecker,6126,456,23,10,33,69.7%,10m
57,1,[Blacer]PAPI,6120,2969,92,72,164,56.1%,2m
58,1,Rail,6119,294,5,12,17,29.4%,13m
58,1,llllllllllll,6119,0,1,0,1,100.0%,11m
60,1,Lambo,6116,0,1,0,1,100.0%,14m
61,1,EterNaL,6115,808,63,46,109,57.8%,4m
62,1,Arjael,6112,480,11,7,18,61.1%,14m
63,1,Grimmy,6111,96,2,2,4,50.0%,14m
64,1,[Ex0n]Krr,6109,983,136,110,246,55.3%,10m
65,1,IIIIIIIIIIII,6105,192,5,9,14,35.7%,17m
66,1,IIIIIIIIIIII,6094,3685,177,137,314,56.4%,2m
67,1,[αX]ArT,6090,3419,128,81,209,61.2%,2m
68,1,llllllllllll,6077,96,2,2,4,50.0%,35m
69,1,oliM,6061,3055,110,84,194,56.7%,2m
70,1,[Sarmat]Indy,6058,48,2,3,5,40.0%,15m
71,1,IIIIIIIIIIII,6055,48,1,1,2,50.0%,10m
72,1,[ArGGEU]EnigmA,6053,2880,95,77,172,55.2%,2m
73,1,lIlIlIlIlIlI,6046,586,56,9,65,86.2%,10m
74,1,llllllllllll,6043,0,0,1,1,0.0%,13m
75,1,IlIlIlIlIlIl,6024,2882,121,112,233,51.9%,2m
75,1,llllllllllll,6024,672,17,11,28,60.7%,35m
77,1,sumargadA,6020,48,1,4,5,20.0%,11m
78,1,[RеG]GeNieS,6016,1747,44,37,81,54.3%,2m
78,1,[BRSKR]Fallenger,6016,0,0,3,3,0.0%,9m
80,1,[ArGGEU]FrisK,6015,0,0,1,1,0.0%,6m
81,1,[n33b]PeterPan,6011,0,1,0,1,100.0%,15m
82,1,[αX]Rodzyn,6009,3282,176,133,309,57.0%,2m
83,1,[TRotti]TheEagle,6008,240,5,6,11,45.5%,11m
84,1,Layt,5998,144,4,1,5,80.0%,10m
85,1,IIIIIIIIIIII,5996,1184,26,13,39,66.7%,8m
86,1,Hawk,5995,3644,271,182,453,59.8%,2m
87,1,[3Dǃ]Couguar,5993,1964,99,85,184,53.8%,2m
88,1,[ZELA]NewPatchToss,5992,574,14,14,28,50.0%,15m
89,1,[αX]Arrogfire,5989,1952,135,105,240,56.2%,4m
90,1,[TRotti]TheNotorious,5983,0,1,0,1,100.0%,11m
91,1,llllllllllll,5982,96,2,5,7,28.6%,15m
92,1,GrapeWizard,5967,1311,162,93,255,63.5%,3m
93,1,[XYFANN]Mage,5960,499,42,29,71,59.2%,17m
94,1,WhiteNight,5958,1053,41,29,70,58.6%,13m
95,1,IIIIIllIIIII,5957,2329,66,50,116,56.9%,2m
96,1,IIIIIIIIIII,5953,0,0,1,1,0.0%,10m
97,1,[TRotti]PacMaN,5948,48,1,2,3,33.3%,11m
98,1,[200png]PattyMac,5945,48,2,0,2,100.0%,35m
99,1,[QTcIub]Beastyqt,5923,2169,84,66,150,56.0%,9m
100,1,ABomB,5917,785,30,20,50,60.0%,4m
101,1,[HBGS]SickNess,5908,618,24,9,33,72.7%,2m
102,1,IIIIIIIIIIII,5904,2050,59,56,115,51.3%,2m
103,1,[TheDOH]FightingFrog,5902,3571,387,327,714,54.2%,2m
104,1,MrDecember,5900,1515,179,81,260,68.8%,32m
105,1,[TheDOH]ZAiN,5899,0,0,2,2,0.0%,13m
106,1,Keanu,5891,3562,333,290,623,53.5%,2m
106,1,[Огурец]SlyCrab,5891,2149,138,103,241,57.3%,9m
106,1,Reynor,5891,48,1,3,4,25.0%,18m
109,1,[ArGGEU]Ladabaz,5885,1663,130,98,228,57.0%,11m
109,1,llllllllllll,5885,960,21,10,31,67.7%,4m
111,1,CarstenStahl,5880,0,3,2,5,60.0%,35m
112,1,Ace,5873,48,2,0,2,100.0%,8m
113,1,[HBGS]Irbis,5869,585,21,14,35,60.0%,9m
113,1,[SubTo]Nina,5869,0,0,7,7,0.0%,8m
115,1,TheMusZero,5866,888,37,29,66,56.1%,2m
116,1,Ĺĩťčĥ,5862,914,34,35,69,49.3%,2m
117,1,arboCgniK,5859,432,9,10,19,47.4%,32m
118,1,[TRotti]OpTiMiStC,5850,1336,49,29,78,62.8%,9m
119,1,[QLASH]RotterdaM,5845,3459,297,252,549,54.1%,2m
120,1,[TSO1]TheSilentOne,5844,440,26,11,37,70.3%,4m
121,1,Lilbow,5841,3540,334,232,566,59.0%,2m
122,1,[Ex0n]ForJumY,5839,2258,77,63,140,55.0%,2m
123,1,Eightman,5834,1146,75,63,138,54.3%,34m
124,1,Квакич,5831,884,49,40,89,55.1%,34m
125,1,SolarFan,5830,3462,147,94,241,61.0%,2m
126,1,[БУБУБ]ФАНАТБУБУБА,5828,2911,99,80,179,55.3%,2m
126,1,[ArGGEU]SlyCrab,5828,0,1,0,1,100.0%,8m
128,1,magarrok,5824,2500,200,173,373,53.6%,9m
129,1,LeAfterParty,5816,3164,171,116,287,59.6%,2m
129,1,[DemuCl]demuLarva,5816,870,30,21,51,58.8%,2m
131,1,Flounder,5811,2658,84,61,145,57.9%,2m
132,1,[ОБЗМ]WannaBeVan,5807,2623,114,28,142,80.3%,2m
132,1,[TRotti]Rondaaaaaa,5807,1989,111,97,208,53.4%,2m
134,1,[сSсǃ]soul,5803,48,2,3,5,40.0%,8m
135,1,[НТТ]HellraiseR,5800,624,14,9,23,60.9%,15m
136,1,JoeDevlin,5796,1473,54,18,72,75.0%,2m
137,1,[ePunks]SpaceMarine,5795,937,64,56,120,53.3%,8m
138,1,[NVY]MiserySignal,5790,688,27,13,40,67.5%,14m
139,1,[Ex0n]Ruiyichi,5784,3432,166,134,300,55.3%,2m
140,1,llllllllllll,5781,330,19,12,31,61.3%,6m
140,1,IIIIIIIIIIII,5781,0,1,1,2,50.0%,13m
142,1,llllllllllll,5778,151,3,9,12,25.0%,10m
143,1,[mup]ForJimmy,5777,535,20,14,34,58.8%,2m
143,1,[РUNK]lemonka,5777,144,3,10,13,23.1%,8m
145,1,Ronaldinho,5775,240,6,1,7,85.7%,4m
146,1,lIlIlIlIlIlI,5771,48,1,1,2,50.0%,6m
147,1,IIIIIIIIIIII,5765,3437,167,148,315,53.0%,2m
148,1,[HBGS]Grimmy,5759,521,27,35,62,43.5%,3m
148,1,llllllllllll,5759,96,3,2,5,60.0%,4m
150,1,IIIIIIIIIIII,5755,3475,294,249,543,54.1%,2m
151,1,[PMǂ]freizy,5747,3426,138,110,248,55.6%,2m
152,1,[PMǂ]JustLikeFire,5742,3257,209,170,379,55.1%,2m
153,1,Alluton,5733,3363,401,347,748,53.6%,2m
154,1,[DHiWe]MightyThor,5730,754,105,92,197,53.3%,8m
155,1,[BRSKR]HydrA,5727,510,18,13,31,58.1%,11m
155,1,[n33b]Phil,5727,0,1,0,1,100.0%,15m
157,1,MyGRAiN,5726,3042,296,270,566,52.3%,2m
158,1,HânTattoo,5720,616,38,33,71,53.5%,34m
159,1,llllllllllll,5718,722,16,13,29,55.2%,11m
160,1,[Li3]MrMiyagi,5713,2704,92,76,168,54.8%,2m
160,1,[GdAT]GyulzzinG,5713,0,1,0,1,100.0%,4m
162,1,llllllllllll,5711,956,32,25,57,56.1%,6m
163,1,llIllIllIlll,5710,3131,260,232,492,52.8%,2m
164,1,[БУБУБ]БУБИБ,5707,48,1,1,2,50.0%,4m
165,1,llllllllllll,5705,1169,28,27,55,50.9%,2m
166,1,IIIIIIIIIIII,5704,48,1,2,3,33.3%,11m
167,1,[150png]Marshall,5703,430,9,2,11,81.8%,34m
168,1,FrenсhSlayer,5700,787,32,15,47,68.1%,15m
169,1,[ArGGEU]JaCkal,5694,1456,33,37,70,47.1%,4m
170,1,[PRОTОS]OPERATOR,5691,1611,76,62,138,55.1%,13m
171,1,[aAa]PsiOniC,5690,0,0,1,1,0.0%,14m
172,1,[Фаталя]GachiMan,5687,3359,430,360,790,54.4%,2m
173,1,IIIIIIIIIIII,5682,1091,38,33,71,53.5%,32m
173,1,llllllllllll,5682,1122,36,36,72,50.0%,15m
175,1,[ROOT]Robbie,5681,431,9,3,12,75.0%,2m
176,1,HsiaoKang,5674,334,7,6,13,53.8%,14m
177,1,[HBGS]FroZy,5673,977,31,34,65,47.7%,11m
178,1,Claptrap,5672,478,11,13,24,45.8%,10m
179,1,Panspérmia,5670,670,14,10,24,58.3%,3m
180,1,Grimmus,5664,1689,88,28,116,75.9%,2m
181,1,Playa,5663,508,12,5,17,70.6%,18m
182,1,IlIlIlIlIlIl,5659,1888,287,245,532,53.9%,8m
183,1,[IBeAŚI]Rhoust,5658,3218,213,173,386,55.2%,2m
184,1,printf,5653,1338,53,58,111,47.7%,18m
185,1,UedSoldier,5651,2204,77,65,142,54.2%,2m
186,1,llllllllllll,5646,73,1,2,3,33.3%,13m
187,1,IIIIIIIIIIII,5644,0,1,0,1,100.0%,11m
188,1,[ArGGEU]CripSeil,5643,2173,65,57,122,53.3%,2m
189,1,[MeRa]AIWWAPEPSI,5642,0,1,0,1,100.0%,34m
190,1,[XYFAN]INcuBo,5640,1975,56,45,101,55.4%,2m
