rank,tier,name,mmr,points,wins,losses,played,winrate,age
1,1,lllIllllIlll,7300,480,11,1,12,91.7%,8m
2,1,LiquidClem,7131,2813,116,31,147,78.9%,17m
3,1,ChatMarauder,7075,503,27,4,31,87.1%,25m
4,1,KaelzY,7032,1906,152,29,181,84.0%,2m
5,1,PrinceOtze,7012,3948,201,66,267,75.3%,2m
6,1,[mouz]HeroMarine,7004,1844,73,22,95,76.8%,2m
6,1,[mlem]mlem,7004,240,6,2,8,75.0%,13m
8,1,GabeTalks,6875,3556,217,79,296,73.3%,2m
9,1,[TKAP]MarineLorD,6800,0,1,2,3,33.3%,13m
10,1,[FrostG]wake,6779,3861,339,157,496,68.3%,2m
11,1,[сSсǃ]soul,6725,3207,86,51,137,62.8%,2m
12,1,llllllllllll,6697,1512,79,42,121,65.3%,12m
13,1,Ronaldinho,6666,384,8,10,18,44.4%,10m
14,1,uwuThermal,6653,672,15,12,27,55.6%,3m
15,1,aLive,6619,2891,75,37,112,67.0%,2m
16,1,IIIIllIIIIIl,6606,720,16,3,19,84.2%,3m
17,1,HeroCyclistX,6464,943,23,16,39,59.0%,14m
18,1,[DemuCl]demuLarva,6446,3963,1201,684,1885,63.7%,2m
19,1,IIIIIIIIIIII,6413,96,3,2,5,60.0%,8m
20,1,[EZ4XY]llllllllllll,6385,240,6,3,9,66.7%,16m
21,1,[WinX]Progamer,6372,0,2,3,5,40.0%,12m
22,1,iGCoffeeMs,6332,218,7,1,8,87.5%,3m
23,1,llllllllllll,6320,587,22,11,33,66.7%,6m
24,1,Radko,6304,842,37,18,55,67.3%,10m
25,1,IIIIIIIIIIII,6288,192,4,1,5,80.0%,10m
26,1,robotikov,6270,555,72,59,131,55.0%,12m
27,1,[НBGS]Creed,6263,979,50,35,85,58.8%,16m
28,1,[FrostG]aquarium,6230,760,41,33,74,55.4%,25m
29,1,RileyReid,6225,1325,54,17,71,76.1%,13m
30,1,[PMǂ]LadderManRon,6216,1964,220,197,417,52.8%,16m
31,1,IIIIIlllIII,6214,544,19,16,35,54.3%,2m
32,1,[MICKEY]MickeyMouse,6212,0,0,1,1,0.0%,8m
33,1,IIIIIIIIIIII,6205,531,17,5,22,77.3%,2m
34,1,sorry,6202,0,1,1,2,50.0%,16m
35,1,[W3SG]futurimus,6199,96,2,9,11,18.2%,10m
36,1,[PMǂ]Hopt,6195,3726,189,147,336,56.2%,2m
37,1,INTRUDER,6185,1147,142,50,192,74.0%,14m
37,1,IIIIIIIIIIII,6185,266,7,1,8,87.5%,2m
39,1,IIIIIIIIIIII,6150,836,28,17,45,62.2%,22m
