rank,tier,name,mmr,points,wins,losses,played,winrate,age
1,1,llllllllllll,6904,1294,28,10,38,73.7%,7m
2,1,llllllllllll,6788,0,1,0,1,100.0%,20m
3,1,llllllllllll,6785,0,0,1,1,0.0%,6m
4,1,llllllllllll,6780,97,2,0,2,100.0%,7m
5,1,llllllllllll,6742,193,7,2,9,77.8%,4m
6,1,Trap,6740,0,1,0,1,100.0%,20m
7,1,llllIlllIlll,6735,169,5,0,5,100.0%,16m
8,1,llllllllllll,6710,1758,71,40,111,64.0%,20m
9,1,lIlllllIllll,6690,194,5,2,7,71.4%,4m
10,1,[인투더]IntoTheZoun,6633,190,5,1,6,83.3%,20m
11,1,[AFSC2]Stats,6628,3174,159,69,228,69.7%,4m
12,1,llllllllllll,6615,2797,91,44,135,67.4%,4m
13,1,IlIlIlIlIlIl,6613,631,22,13,35,62.9%,4m
14,1,llllllllllll,6595,48,1,2,3,33.3%,7m
15,1,llllllllllll,6540,48,2,2,4,50.0%,16m
16,1,llllllllllll,6537,0,1,1,2,50.0%,16m
17,1,Has,6472,48,2,0,2,100.0%,7m
18,1,IIIIIIIIII,6469,144,3,2,5,60.0%,6m
19,1,[TeamNV]Creator,6467,1738,41,16,57,71.9%,6m
20,1,[RYE]Zest,6458,48,2,0,2,100.0%,6m
20,1,llllllllllll,6458,0,0,2,2,0.0%,6m
22,1,PartinG,6455,3890,401,96,497,80.7%,4m
23,1,llllllllllll,6413,682,17,18,35,48.6%,4m
24,1,IIIIIIIIIII,6395,0,1,0,1,100.0%,6m
25,1,llllllllllll,6390,0,0,10,10,0.0%,16m
26,1,Classic,6387,116,2,3,5,40.0%,4m
27,1,llllllllllll,6366,3809,249,171,420,59.3%,4m
28,1,llllllllllll,6361,0,0,3,3,0.0%,16m
29,1,Classic,6344,0,0,1,1,0.0%,6m
30,1,lllllllllll,6337,73,0,1,1,0.0%,7m
31,1,llllllllllll,6327,572,12,15,27,44.4%,6m
32,1,IIIIIIIIIIII,6319,926,47,32,79,59.5%,20m
33,1,[TeamGP]Prince,6316,96,3,1,4,75.0%,16m
34,1,[인투더]Dandy,6315,0,0,1,1,0.0%,7m
35,1,llllllllllll,6308,3045,84,61,145,57.9%,4m
36,1,llllllllllll,6304,0,0,2,2,0.0%,20m
37,1,[Rush]黑羽快斗,6302,581,22,23,45,48.9%,16m
38,1,llllllllllll,6251,0,0,1,1,0.0%,16m
39,1,llllllllll,6241,96,2,4,6,33.3%,7m
40,1,[인투더]Hurricane,6228,0,0,1,1,0.0%,6m
41,1,llllIIIIllll,6221,2325,61,49,110,55.5%,4m
42,1,llllllllllll,6174,0,1,0,1,100.0%,20m
43,1,llllllllllll,6168,48,2,0,2,100.0%,7m
44,1,IlIllllIIIII,6157,468,10,7,17,58.8%,7m
45,1,IIIIIIIIIIII,6145,791,32,20,52,61.5%,20m
46,1,lllllllllll,6144,774,17,14,31,54.8%,20m
47,1,lllllllllll,6124,1441,46,35,81,56.8%,16m
48,1,llllllllllll,6120,97,2,0,2,100.0%,7m
49,1,[GGGSC2]cyan,6103,1137,24,26,50,48.0%,4m
50,1,[TeamNV]NightMare,6096,2094,132,77,209,63.2%,16m
51,1,llllllllllll,6090,0,0,1,1,0.0%,6m
52,1,[jieshi]IIIIIIIIIIII,6054,298,45,36,81,55.6%,20m
53,1,llllllllllll,6049,48,2,7,9,22.2%,6m
54,1,llllllllll,6047,372,13,14,27,48.1%,4m
54,1,llllllllllll,6047,0,1,5,6,16.7%,16m
56,1,Yoger,6044,0,1,0,1,100.0%,16m
57,1,[Yisc]llllllllllll,6011,640,15,8,23,65.2%,7m
58,1,[混元星际]iGMacSed,6007,3634,645,609,1254,51.4%,4m
59,1,llllllllllll,5984,648,28,12,40,70.0%,6m
60,1,[Hyper]EGO,5979,0,1,0,1,100.0%,20m
61,1,[Yisc]수열이,5960,3015,119,75,194,61.3%,4m
62,1,llllllllllll,5959,48,1,2,3,33.3%,16m
63,1,[무한오영종]lIIlllIIIIIl,5955,3572,699,569,1268,55.1%,4m
64,1,[인투더]IntoTheStuN,5945,48,2,0,2,100.0%,7m
65,1,llllllllllll,5939,218,6,6,12,50.0%,20m
66,1,llllllllllll,5934,96,3,0,3,100.0%,20m
67,1,llllllllllll,5922,0,0,1,1,0.0%,7m
68,1,llllIIIlIIll,5902,465,16,3,19,84.2%,16m
69,1,Emotion,5897,48,1,3,4,25.0%,20m
70,1,lllllllllll,5847,167,3,1,4,75.0%,4m
71,1,[GdAT]GyulzzinG,5825,0,0,1,1,0.0%,20m
72,1,llllllllllll,5809,0,1,1,2,50.0%,7m
73,1,[트수Crew]DPGDark,5807,48,1,4,5,20.0%,7m
74,1,TAiLS,5800,1094,187,109,296,63.2%,16m
75,1,[인투더]TYTY,5778,1176,32,19,51,62.7%,6m
76,1,llllllllllll,5774,1799,95,70,165,57.6%,6m
77,1,[Kaizi]TIME,5753,994,27,17,44,61.4%,20m
78,1,[NDW]Rimuru,5751,0,0,1,1,0.0%,20m
79,1,llllllllllll,5740,0,0,1,1,0.0%,20m
80,1,[인트로]MarineMan,5713,0,0,4,4,0.0%,7m
81,1,[AFSC2]Armani,5705,298,9,2,11,81.8%,7m
82,1,llllllllllll,5680,0,1,0,1,100.0%,16m
83,1,[αX]Gin,5676,814,30,22,52,57.7%,6m
84,1,[인투더]MyuNgSiK,5673,853,57,53,110,51.8%,7m
85,1,llllllllllll,5669,2866,246,202,448,54.9%,4m
