rank,tier,name,mmr,points,wins,losses,played,winrate,age
1,1,[TeamNV]sOs,6085,1530,41,23,64,64.1%,7m
2,1,[인투더]TYTY,5782,0,0,2,2,0.0%,6m
3,3,[GdAT]GyulzzinG,5656,0,1,0,1,100.0%,11m
4,3,oGsForGG,5593,0,1,1,2,50.0%,8m
5,1,[Rush]黑羽快斗,5515,814,27,28,55,49.1%,3m
6,1,llllllllllll,5508,0,3,2,5,60.0%,5m
7,1,llllllllllll,5505,269,9,7,16,56.2%,7m
8,1,[CIM]데스윙,5464,3111,470,375,845,55.6%,3m
9,1,[KRisEZ]NORTHAMERICA,5410,0,1,0,1,100.0%,7m
10,1,llllllllllII,5354,352,16,12,28,57.1%,7m
11,1,llllllllllll,5332,124,2,9,11,18.2%,5m
12,1,Rex,5324,366,9,9,18,50.0%,3m
13,1,[고외몽메타몽]앵무,5314,179,6,5,11,54.5%,6m
14,3,llllllllllll,5294,195,6,2,8,75.0%,3m
15,2,[푸른장미]llllllllllll,5238,0,0,1,1,0.0%,10m
16,2,Emotion,5232,6,2,0,2,100.0%,10m
17,2,[NCCU]ParalyzeD,5231,0,1,0,1,100.0%,10m
18,2,Moroha,5201,0,3,2,5,60.0%,7m
19,2,[인투더]IntoTheJung,5146,174,10,6,16,62.5%,10m
20,2,[원피스]이준상조오옷,5126,486,33,19,52,63.5%,7m
21,2,[인투더]IntoTheOb,5107,178,11,2,13,84.6%,7m
22,2,llllllllllll,5094,1798,151,143,294,51.4%,10m
23,2,EsC,5068,122,8,10,18,44.4%,7m
24,1,[세미레전드]하니,5041,494,28,38,66,42.4%,3m
25,1,llllllllllll,5030,40,1,15,16,6.2%,5m
26,2,[푸른장미]Skewed,5027,103,4,2,6,66.7%,7m
27,2,lIIlllIlllII,5000,28,2,4,6,33.3%,10m
28,1,안정인,4996,281,10,14,24,41.7%,3m
29,1,llllllllllll,4990,144,5,10,15,33.3%,3m
30,3,[TeamGP]Sandcastle,4954,0,0,1,1,0.0%,8m
31,3,[야근싫어요]llllllllllll,4952,0,1,0,1,100.0%,3m
32,3,llllllllllll,4948,351,13,11,24,54.2%,6m
33,2,llllllllllll,4940,14,4,5,9,44.4%,10m
34,3,[TeamGP]LunaSea,4915,232,20,21,41,48.8%,3m
35,3,[무한오영종]Americano,4893,589,39,7,46,84.8%,9m
36,3,llllllllllll,4892,4,1,3,4,25.0%,8m
37,3,[테란저그토스]포도,4884,0,3,2,5,60.0%,6m
38,3,[Primer]Plan,4882,0,0,1,1,0.0%,3m
39,3,[NGameS]새드엔딩,4872,392,41,33,74,55.4%,8m
40,3,COSMOS,4865,2076,118,121,239,49.4%,8m
41,3,master,4847,297,10,5,15,66.7%,6m
42,3,[TalenT]SuperJGL,4845,445,65,33,98,66.3%,10m
43,3,llllllll,4842,0,3,2,5,60.0%,6m
44,2,[VVDY]llllllllllll,4839,2341,916,868,1784,51.3%,10m
45,3,lIIIlIlIllII,4831,343,16,12,28,57.1%,8m
46,3,[ReV]Con,4788,2,1,1,2,50.0%,3m
47,3,공유기,4785,26,6,6,12,50.0%,11m
48,3,[NsP]HeART,4780,145,3,2,5,60.0%,8m
49,3,SlayersDuker,4779,1314,186,168,354,52.5%,10m
50,1,milkyway,4775,307,8,7,15,53.3%,6m
51,3,IIIlllIIIllI,4770,317,14,7,21,66.7%,8m
52,3,[ELS]안정인,4762,0,3,3,6,50.0%,11m
53,3,[NGameS]조선명기,4740,610,53,38,91,58.2%,11m
54,1,[Dopen]CarGO,4734,164,3,4,7,42.9%,3m
55,1,[TeamGP]EunkOng,4730,378,8,6,14,57.1%,5m
56,1,[무한오영종]한남들의나라,4688,968,21,15,36,58.3%,8m
56,1,llllllllllll,4688,648,16,11,27,59.3%,3m
58,1,magicpants,4666,96,2,5,7,28.6%,8m
59,1,llllllllllll,4665,0,1,0,1,100.0%,9m
60,3,[CyaN]Apfel,4662,115,6,10,16,37.5%,11m
61,2,[NDW]Drima,4660,0,1,0,1,100.0%,4m
62,1,[TeamNV]프로토스,4656,936,21,15,36,58.3%,7m
63,1,[고졸테란]HonMonO,4636,0,1,0,1,100.0%,5m
64,1,speaknow,4618,96,7,3,10,70.0%,5m
65,1,[인투더]IntoTheBest,4617,0,0,1,1,0.0%,4m
66,1,[쇄국정책]Sylvanas,4615,0,4,1,5,80.0%,3m
67,2,LastHerO,4614,0,0,3,3,0.0%,7m
68,2,IIIIlllllIII,4610,116,7,2,9,77.8%,8m
69,1,[무한오영종]Origin,4607,0,1,0,1,100.0%,3m
70,1,IIIlIIllIIII,4603,214,6,6,12,50.0%,5m
71,2,[Old]computer,4602,0,0,3,3,0.0%,7m
72,3,Astharos,4598,440,111,107,218,50.9%,11m
73,1,[낭낭하게]Wade,4596,284,7,4,11,63.6%,6m
73,2,[Yisc]Heavenly,4596,177,5,3,8,62.5%,8m
75,3,IlllllIIIlll,4594,1927,491,495,986,49.8%,10m
76,1,asdfsdf,4593,815,31,6,37,83.8%,4m
77,1,[애니멀킹덤]KIMOCHI,4579,0,1,0,1,100.0%,3m
78,3,[무한오영종]불꽃,4567,1494,83,74,157,52.9%,8m
78,1,[도리]DangRyubi,4567,0,0,1,1,0.0%,4m
80,3,[李至安]이지안,4562,91,48,58,106,45.3%,3m
81,1,Fighter,4540,696,17,11,28,60.7%,7m
82,1,[박용직]박용직,4537,144,4,2,6,66.7%,4m
