rank,tier,name,mmr,points,wins,losses,played,winrate,age
1,1,llllllllllll,6958,577,22,1,23,95.7%,2m
2,1,[TeamNV]Maru,6857,0,0,1,1,0.0%,2m
3,1,llllllllllll,6838,204,5,1,6,83.3%,8m
4,1,OGAna,6783,192,5,0,5,100.0%,2m
5,1,llllllllllll,6776,864,19,1,20,95.0%,2m
6,1,llllllllllll,6730,121,3,0,3,100.0%,2m
7,1,llllllllllll,6681,409,7,2,9,77.8%,2m
8,1,llllllllllll,6652,4052,147,84,231,63.6%,2m
9,1,llllllllllll,6641,336,8,5,13,61.5%,8m
10,1,[Kaizi]TIME,6629,433,10,1,11,90.9%,2m
11,1,lIlIlIlllIII,6614,222,7,6,13,53.8%,2m
12,1,DPGCure,6613,0,1,0,1,100.0%,6m
13,1,llllllllllll,6603,888,21,6,27,77.8%,2m
14,1,llllllllllll,6582,268,9,3,12,75.0%,2m
15,1,llllllllllll,6575,3616,114,60,174,65.5%,2m
16,1,llllllllllll,6569,3977,213,88,301,70.8%,2m
17,1,IIIIIIIIIIII,6567,3930,429,266,695,61.7%,2m
18,1,[Kaizi]INnoVation,6542,2676,216,113,329,65.7%,2m
19,1,[GGGSC2]Dream,6481,2027,117,66,183,63.9%,2m
20,1,LiquidTaeJa,6428,288,6,4,10,60.0%,6m
21,1,IIIIIIIIIIII,6361,1598,55,45,100,55.0%,2m
22,1,llllllllllll,6350,3860,727,617,1344,54.1%,2m
23,1,llllllllllll,6315,144,4,1,5,80.0%,8m
24,1,[인투더]TYTY,6307,2140,73,60,133,54.9%,2m
25,1,llllllllllll,6301,550,27,3,30,90.0%,2m
26,1,lllllllllIlI,6269,240,5,3,8,62.5%,2m
27,1,llllIIIlllIl,6265,472,14,6,20,70.0%,6m
28,1,wake,6250,1787,196,111,307,63.8%,6m
29,1,llllllllllll,6230,3786,509,446,955,53.3%,2m
30,1,llllllllllll,6221,1611,111,111,222,50.0%,2m
31,1,[인투더]Rookie,6176,144,4,2,6,66.7%,2m
32,1,[Dopen]KeeN,6161,46,2,1,3,66.7%,2m
33,1,llllllllllll,6158,1469,55,58,113,48.7%,8m
34,1,llllllllllll,6137,1745,47,37,84,56.0%,2m
35,1,[TeamNV]Percival,6099,1913,109,97,206,52.9%,8m
36,1,llllllllllll,6063,3588,149,114,263,56.7%,2m
36,1,신의한수,6063,766,104,81,185,56.2%,2m
38,1,llllllllllll,6056,48,3,3,6,50.0%,6m
39,1,llllllllllll,6017,2121,77,57,134,57.5%,2m
40,1,iGCoffeeMs,6013,167,4,1,5,80.0%,2m
41,1,초보입니다,5956,1867,92,79,171,53.8%,6m
42,1,oGsForGG,5940,3327,390,226,616,63.3%,2m
43,1,IIlIlIllIlIl,5921,532,13,15,28,46.4%,2m
43,1,llllllllllll,5921,0,1,0,1,100.0%,2m
