rank,tier,name,mmr,points,wins,losses,played,winrate,age
1,1,llllllllllll,6875,0,1,0,1,100.0%,11m
2,1,lllllllllll,6872,0,0,1,1,0.0%,3m
3,1,llllllllllll,6862,3448,89,43,132,67.4%,3m
4,1,llllllllllll,6850,0,1,0,1,100.0%,11m
5,1,llllllllllll,6819,144,4,0,4,100.0%,10m
6,1,llllllllllll,6808,240,6,3,9,66.7%,3m
7,1,부산세랄,6725,96,3,1,4,75.0%,10m
8,1,[αX]RAGNAROK,6717,3726,189,88,277,68.2%,3m
9,1,llllllllllll,6701,96,3,2,5,60.0%,3m
10,1,lIlIlIlIlIlI,6695,1025,35,9,44,79.5%,3m
11,1,llllllllllll,6679,3125,82,33,115,71.3%,3m
12,1,[Kaizi]Solar,6663,2100,47,16,63,74.6%,3m
13,1,[트수Crew]DPGDark,6640,946,20,11,31,64.5%,5m
14,1,llllllllllll,6629,3224,87,48,135,64.4%,3m
15,1,llllllllllll,6614,2106,50,16,66,75.8%,3m
16,1,마지막불꽃,6600,96,2,2,4,50.0%,10m
17,1,llllllllllll,6591,1817,73,32,105,69.5%,10m
18,1,lIlIlIIIllIl,6582,1391,30,12,42,71.4%,3m
19,1,Shin,6552,1448,87,43,130,66.9%,3m
20,1,lllllllllll,6526,3819,333,192,525,63.4%,3m
21,1,llllllllllll,6519,3452,139,81,220,63.2%,3m
22,1,[AFSC2]Armani,6414,336,7,12,19,36.8%,5m
23,1,lIlllIllllll,6268,169,5,0,5,100.0%,5m
24,1,lIIlllIIlIll,6260,3811,312,274,586,53.2%,3m
25,1,llllllllllll,6223,0,1,0,1,100.0%,5m
26,1,IIIIIIIIIIII,6094,92,2,2,4,50.0%,3m
27,1,llllllllllll,5988,0,1,3,4,25.0%,11m
28,1,PharahMercy,5954,3543,475,464,939,50.6%,3m
29,1,IIIIIIIIIIII,5923,1823,73,65,138,52.9%,3m
30,1,llllllllll,5914,16,2,1,3,66.7%,10m
31,1,[PSISTM]True,5911,366,9,11,20,45.0%,10m
32,1,Rex,5899,3506,423,428,851,49.7%,3m
33,1,llllllllllll,5888,1863,83,84,167,49.7%,3m
34,1,TonyFerguson,5872,168,4,3,7,57.1%,3m
35,1,[2015FW]NeVeRLosEs,5858,915,154,148,302,51.0%,5m
36,1,[教我玩蟲族]Sen,5840,0,1,1,2,50.0%,3m
37,1,llllllllllll,5830,651,117,70,187,62.6%,11m
38,1,Toodming,5826,0,1,0,1,100.0%,5m
39,1,[eQ]Carol,5820,0,0,1,1,0.0%,10m
40,1,lllllllllll,5804,807,101,86,187,54.0%,11m
41,2,[GGGSC2]Dream,5803,0,1,0,1,100.0%,7m
42,2,wake,5790,0,1,0,1,100.0%,7m
43,1,[神族是我爹]IIIIIIIIIIII,5780,770,35,21,56,62.5%,3m
44,1,Restart,5770,464,12,5,17,70.6%,10m
45,1,[TeamNV]sOs,5763,30,2,0,2,100.0%,11m
46,1,Hukuro,5725,1227,176,117,293,60.1%,5m
47,1,llllllllllll,5719,1853,308,252,560,55.0%,3m
47,1,IlIIlllIIIII,5719,0,0,1,1,0.0%,5m
49,1,[NDW]MysteryMan,5716,0,0,1,1,0.0%,5m
50,1,llllllllll,5694,0,0,1,1,0.0%,5m
51,1,동래굴링,5692,94,2,1,3,66.7%,3m
52,1,[TeamNV]Mondo,5688,44,2,1,3,66.7%,5m
53,1,[인투더]IntoThemuri,5687,959,42,36,78,53.8%,3m
54,1,Silky,5681,1802,69,58,127,54.3%,3m
54,1,[인투더]SpeCial,5681,118,3,3,6,50.0%,5m
56,1,군신의마지막갈망,5675,226,6,3,9,66.7%,5m
57,1,[越南探親希望]超爆爛怪人蟹肉,5667,42,1,3,4,25.0%,3m
58,1,llllllllllll,5640,293,30,20,50,60.0%,11m
59,1,IIIIIIIIIIII,5635,3121,156,137,293,53.2%,3m
60,1,[Kaizi]TIME,5625,1066,34,22,56,60.7%,11m
61,1,[Rush]TopRush,5575,0,0,1,1,0.0%,5m
62,1,[混元星际]星际指导员,5573,2220,336,306,642,52.3%,3m
63,1,BuonVaiCaLoz,5564,238,7,6,13,53.8%,5m
64,1,[越南探親希望]夯特叉叉,5558,2959,168,147,315,53.3%,3m
65,1,llllllllllll,5556,660,33,9,42,78.6%,11m
65,1,雅雅大王,5556,281,5,1,6,83.3%,10m
67,1,[순수]미친듯이파이팅,5538,84,2,2,4,50.0%,3m
68,1,Filipino,5530,966,42,34,76,55.3%,10m
69,1,[인투더]TYTY,5522,787,24,28,52,46.2%,11m
70,1,원이삭인쓰,5516,0,0,1,1,0.0%,3m
71,1,llllllllllll,5511,0,1,0,1,100.0%,5m
72,1,[Rush]黑羽快斗,5509,2933,183,144,327,56.0%,3m
73,1,llllllllllll,5486,32,2,0,2,100.0%,11m
74,1,llllllllll,5476,834,36,25,61,59.0%,3m
75,1,Zugzwang,5474,237,9,10,19,47.4%,3m
76,1,[StorM]Tng,5464,48,1,3,4,25.0%,11m
77,1,夕立糊涂,5458,218,7,7,14,50.0%,10m
78,1,llllllllllll,5444,1880,84,64,148,56.8%,3m
79,1,[낭낭하게]Wade,5425,0,1,0,1,100.0%,10m
80,1,llllllllllll,5400,1255,179,152,331,54.1%,3m
81,1,[丨SLT丨]BrianMay,5398,2915,262,216,478,54.8%,3m
82,1,Airlines,5390,1204,50,32,82,61.0%,3m
83,1,llllllllllll,5389,501,15,5,20,75.0%,10m
84,1,[NGameS]모찌모찌아큽냥이,5372,1601,168,143,311,54.0%,5m
85,1,llllllllllll,5368,3090,610,452,1062,57.4%,3m
86,1,[Dopen]장그래,5365,0,1,0,1,100.0%,11m
87,1,[Equal]PeNoMeCo,5363,533,27,17,44,61.4%,3m
88,1,llllllllllll,5345,48,1,2,3,33.3%,5m
89,1,IIIIIIIIIIII,5343,3062,336,301,637,52.7%,3m
90,1,llllllllllll,5339,752,33,28,61,54.1%,11m
91,1,aeontech,5321,0,0,2,2,0.0%,3m
92,1,IIIIIIIIIIIl,5312,827,148,129,277,53.4%,10m
92,1,IIIIIIIIIIII,5312,878,29,33,62,46.8%,3m
94,1,[AFSC2]Stats,5311,419,18,11,29,62.1%,3m
95,1,llllllllllll,5310,416,13,9,22,59.1%,3m
96,1,lllllllllll,5307,46,1,6,7,14.3%,5m
97,1,[攘外必先安内]三民主義統一中國,5305,0,1,0,1,100.0%,10m
98,1,[네오]Ruke,5302,0,1,3,4,25.0%,5m
99,1,llllllllllll,5295,0,1,0,1,100.0%,5m
100,1,master,5292,0,1,0,1,100.0%,11m
101,1,[MFSC2]Chasey,5290,0,1,0,1,100.0%,3m
102,1,llllllllllll,5289,434,12,16,28,42.9%,5m
103,1,착한사람입니다,5288,124,3,1,4,75.0%,11m
104,1,IIIIIIIIIIII,5285,2095,127,104,231,55.0%,3m
105,1,[DVS]XiaoBai,5284,125,4,1,5,80.0%,3m
106,1,IIIIIIIIIIII,5283,442,15,11,26,57.7%,5m
107,1,llllllllllll,5280,520,27,22,49,55.1%,10m
108,1,[TeamNV]Artist,5272,2722,185,159,344,53.8%,3m
109,1,IIIIIIIIII,5267,88,3,4,7,42.9%,10m
110,1,[李至安]이지안,5266,1347,62,43,105,59.0%,5m
111,2,llllllllllll,5259,544,34,2,36,94.4%,10m
112,1,llllllllllll,5254,2867,179,161,340,52.6%,3m
113,1,IIIIIIIIIIII,5248,0,0,2,2,0.0%,10m
114,2,김동현,5244,497,32,16,48,66.7%,7m
115,2,[NGamE2]ForgetMeNot,5241,0,0,1,1,0.0%,7m
116,2,[TeamNV]Creator,5240,28,2,1,3,66.7%,7m
116,2,[越南探親希望]ImReady,5240,0,0,1,1,0.0%,7m
118,1,[이터널]DEPEE,5236,1598,81,56,137,59.1%,3m
119,2,IIIIIIIIIII,5235,0,1,1,2,50.0%,7m
120,2,쓱쓱싹싹,5231,860,56,46,102,54.9%,7m
121,2,紅魂獸霸,5220,0,1,0,1,100.0%,7m
121,2,废铁二号,5220,0,0,1,1,0.0%,7m
123,1,llllllllllll,5206,179,5,7,12,41.7%,10m
124,1,llllllllllll,5200,2602,102,96,198,51.5%,3m
125,2,[混元星际]MagicTerran,5196,415,31,26,57,54.4%,7m
126,2,[NsP]HeART,5195,935,44,33,77,57.1%,7m
127,2,Has,5191,0,1,0,1,100.0%,7m
128,2,IIIIIIIIIIII,5186,0,0,1,1,0.0%,10m
129,1,llllllllllll,5185,548,22,28,50,44.0%,3m
130,1,llllllllllll,5183,351,18,16,34,52.9%,10m
131,1,IIIIIIIIIIII,5182,963,33,25,58,56.9%,3m
132,2,IIIIllIIIIII,5180,364,20,17,37,54.1%,7m
132,2,[250MS]임나영,5180,0,0,5,5,0.0%,7m
134,1,IIIIIIIIIIII,5177,129,5,2,7,71.4%,3m
134,2,초보입니다,5177,62,3,3,6,50.0%,7m
136,2,lIlIlIlIlIlI,5175,0,1,0,1,100.0%,10m
137,1,[Kid]NXZ,5156,795,26,30,56,46.4%,3m
138,1,안정인,5155,54,4,7,11,36.4%,11m
139,2,[NEX]Spirit,5148,0,0,1,1,0.0%,7m
140,2,GraZer,5143,283,22,9,31,71.0%,10m
140,2,IlIllllIIIII,5143,64,3,2,5,60.0%,7m
142,1,[Lotuz]lIllllIlllll,5133,715,25,20,45,55.6%,3m
142,2,[무한오영종]lIIIIIIIllII,5133,146,6,4,10,60.0%,10m
144,2,llllllllllll,5126,42,2,1,3,66.7%,10m
145,2,LiquidTaeJa,5125,86,4,10,14,28.6%,7m
146,2,llllllllllll,5124,0,0,1,1,0.0%,10m
147,2,[MFSC2]MightyKiwi,5114,64,4,7,11,36.4%,10m
148,2,[Dopen]티아코스모스,5113,235,15,5,20,75.0%,7m
149,2,인간실격,5108,0,0,1,1,0.0%,7m
150,1,[겨울방어]lIIIIIllllIl,5107,2014,97,72,169,57.4%,3m
151,1,[TeamNV]incapacitate,5098,2581,226,200,426,53.1%,3m
152,2,IIIIIIIIII,5097,34,3,0,3,100.0%,7m
153,1,[GdAT]CheesyKimbap,5090,716,34,27,61,55.7%,3m
154,1,wujiang,5089,73,1,5,6,16.7%,3m
155,2,[ROOT]neuro,5086,60,5,5,10,50.0%,7m
156,1,llllllllllll,5083,167,3,7,10,30.0%,11m
157,2,DokoTack,5078,1232,77,46,123,62.6%,7m
158,2,[ELS]llllllllllll,5070,22,3,0,3,100.0%,7m
158,2,[인투더]IntoTheP,5070,0,1,0,1,100.0%,7m
160,2,[ELS]DDoaH,5069,0,0,2,2,0.0%,7m
161,2,[KRisEZ]LANDOFDAFREE,5067,4,2,1,3,66.7%,7m
162,1,[무한오영종]Bird,5066,264,24,21,45,53.3%,3m
163,2,[αX]hiohu,5065,16,2,0,2,100.0%,10m
164,2,[NCCU]ParalyzeD,5061,36,1,1,2,50.0%,7m
164,2,IIIIIIIIIIII,5061,0,1,1,2,50.0%,7m
166,2,llllllllllll,5060,40,2,3,5,40.0%,7m
167,2,llllllllllll,5057,249,33,8,41,80.5%,10m
168,2,[무한오영종]카구야님은고백받,5056,0,0,1,1,0.0%,10m
169,3,llllllllllll,5052,276,9,1,10,90.0%,11m
170,2,[NsP]BigBang,5051,0,1,0,1,100.0%,7m
171,1,llllllllllll,5047,2399,127,104,231,55.0%,3m
171,2,IIIIIIIIIIII,5047,430,24,24,48,50.0%,10m
171,2,운영연습을해봐요,5047,0,0,2,2,0.0%,7m
174,1,llllllllllll,5041,157,8,5,13,61.5%,3m
174,2,llllllllllll,5041,34,5,1,6,83.3%,7m
174,1,llllllllllll,5041,73,1,1,2,50.0%,3m
177,2,[ROOT]ViBE,5038,102,5,12,17,29.4%,7m
178,2,[IDFI]llllllllllll,5033,122,4,2,6,66.7%,10m
179,1,Charlie,5032,585,37,4,41,90.2%,3m
180,2,IlIllllIlllI,5031,0,0,3,3,0.0%,7m
181,2,BlackSwan,5030,603,30,11,41,73.2%,10m
182,2,[1dC]Wilo,5026,168,8,9,17,47.1%,7m
183,2,PLKing,5025,997,49,50,99,49.5%,7m
183,2,[WTZ]Faint,5025,0,1,0,1,100.0%,7m
185,2,llllllllllll,5021,578,31,31,62,50.0%,7m
186,2,AmazingBirth,5019,198,12,9,21,57.1%,7m
186,2,[NGameS]조선명기,5019,0,0,2,2,0.0%,7m
188,2,Alpha,5017,258,24,7,31,77.4%,7m
189,2,[WAZAI]자능이,5016,656,57,43,100,57.0%,7m
190,2,llllllllllll,5015,216,11,7,18,61.1%,7m
191,2,llIIIllIlIIl,5014,561,37,18,55,67.3%,10m
192,3,SuperNova,5012,0,0,1,1,0.0%,7m
193,3,Ori,5010,2417,287,255,542,53.0%,7m
194,3,IIIIIIIIIIII,5009,0,0,1,1,0.0%,11m
195,3,llllllllllll,5008,918,142,111,253,56.1%,8m
195,2,EON,5008,110,10,9,19,52.6%,7m
197,3,我携苏苏揽星河,5006,0,0,1,1,0.0%,8m
198,3,[인투더]IntoTheJung,5004,0,1,0,1,100.0%,8m
199,3,llllllllllll,5000,1596,356,352,708,50.3%,8m
199,2,[αX]Ravage,5000,1011,84,69,153,54.9%,10m
199,3,lllllllll,5000,2,2,0,2,100.0%,9m
202,3,HuaCheng,4992,630,58,55,113,51.3%,11m
202,3,[NDW]Smile,4992,0,1,1,2,50.0%,9m
204,2,Percival,4985,115,6,3,9,66.7%,10m
204,1,[야근싫어요]llllllllllll,4985,0,1,0,1,100.0%,12m
206,2,llllllllllll,4982,2075,167,142,309,54.0%,7m
207,3,Jensen,4980,594,36,35,71,50.7%,9m
208,3,고라니,4979,1086,60,25,85,70.6%,8m
208,2,llllllllllll,4979,170,9,12,21,42.9%,10m
210,2,llllllllllll,4978,36,5,7,12,41.7%,10m
211,3,llll,4977,1655,82,80,162,50.6%,8m
212,2,llllllllllll,4971,746,45,49,94,47.9%,10m
213,1,llllllllllll,4968,0,0,1,1,0.0%,5m
214,2,[원피스]이준상조오옷,4966,1315,85,74,159,53.5%,7m
215,3,[우리티어]린세인,4958,700,48,23,71,67.6%,7m
216,3,[教我玩蟲族]史戀,4954,4,1,4,5,20.0%,7m
217,2,IIIIIlllIIII,4953,133,10,7,17,58.8%,7m
218,2,[Ato]가짐어서,4952,2454,133,128,261,51.0%,10m
219,3,llllllllllll,4946,8,5,2,7,71.4%,7m
220,2,llllllIIIIII,4936,118,8,8,16,50.0%,10m
220,3,IIIIIIII,4936,44,7,1,8,87.5%,9m
222,3,[무한오영종]Rose,4934,784,53,19,72,73.6%,5m
223,2,llllllllllll,4930,2046,135,120,255,52.9%,10m
223,2,IIIIIIIIIIII,4930,1916,91,100,191,47.6%,10m
225,3,잔혹한라이언,4928,0,0,2,2,0.0%,8m
226,2,Hyeok,4927,1925,98,99,197,49.7%,7m
227,2,[ELS]llllllllllll,4925,305,15,20,35,42.9%,7m
228,3,llllllllllll,4918,2176,280,260,540,51.9%,7m
229,2,IIIIIIIIIIII,4917,156,7,15,22,31.8%,7m
230,2,[yOsyOs]njustdsm,4915,1295,66,59,125,52.8%,10m
231,2,lllllIlIlIlI,4911,72,6,12,18,33.3%,7m
232,3,이지금,4908,20,2,1,3,66.7%,7m
232,1,llllllllllll,4908,0,0,1,1,0.0%,8m
234,3,llllllllllll,4907,12,2,1,3,66.7%,7m
235,2,SeibasAhoge,4905,777,34,44,78,43.6%,7m
236,3,[이터널]한판하게,4902,82,10,5,15,66.7%,9m
237,3,电竞教父黄旭东,4901,497,39,11,50,78.0%,8m
238,3,[산군山君]산군추이,4899,373,80,66,146,54.8%,5m
239,3,Delta,4898,569,36,12,48,75.0%,7m
240,3,MAsTeRCooP,4893,0,0,1,1,0.0%,9m
241,2,llllllllllll,4891,104,5,14,19,26.3%,10m
241,3,[클랜구해요]맹덕이,4891,0,0,1,1,0.0%,11m
243,3,Hood,4883,380,42,31,73,57.5%,5m
244,3,Automatic,4880,20,3,3,6,50.0%,7m
244,3,컴온잭,4880,0,1,0,1,100.0%,5m
246,3,llllllllllll,4876,0,1,0,1,100.0%,5m
247,2,llllllllllll,4868,236,15,20,35,42.9%,10m
248,3,SlayersDuker,4866,761,63,59,122,51.6%,5m
249,3,뚱뚱한곰,4863,0,0,1,1,0.0%,3m
250,3,[통수왕이한희]kapterhan,4862,8,3,0,3,100.0%,9m
251,3,[메가트윈스]테란슛,4854,86,16,11,27,59.3%,8m
251,3,llllllllllll,4854,0,1,0,1,100.0%,11m
253,3,llllllllllll,4845,0,1,1,2,50.0%,3m
